ref,name,la,sector,type,governance,language,pupils,fsm_eligible,aln_pupils
6672298,YSGOL GYMUNEDOL TALGARREG,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),39,,
6672299,YSGOL GYMRAEG ABERYSTWYTH,Ceredigion,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),342,8.4,5
6672303,YSGOL GYMUNEDOL COMINS COCH,Ceredigion,Primary schools,"Nursery, Infants & Juniors",Community,Dual language school / provision (Welsh and English) (including transitional),138,15.6,11.6
6672308,YSGOL GYMUNEDOL LLANFARIAN,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),25,,
6672309,YSGOL GYMUNEDOL LLANFIHANGEL-Y-CREUDDYN,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),13,0,
6672310,YSGOL GYMUNEDOL LLANGWYRYFON,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),24,,
6672311,YSGOL LLANILAR,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),116,12.5,6
6672312,YSGOL GYMUNEDOL MYNACH,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),42,22.9,
6672313,YSGOL PENLLWYN,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),44,15.2,11.4
6672314,YSGOL GYMUNEDOL LLWYN YR EOS,Ceredigion,Primary schools,"Nursery, Infants & Juniors",Community,Dual language school / provision (Welsh and English) (including transitional),218,44.3,28
6672315,YSGOL GYMUNEDOL SYR JOHN RHYS,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),15,53.8,0
6672316,YSGOL GYMUNEDOL RHYDYPENNAU,Ceredigion,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),200,14.2,4
6672317,YSGOL GYMUNEDOL TALYBONT,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),57,13.6,10.5
6672319,YSGOL GYMUNEDOL ABERPORTH,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),163,15.7,19
6672323,YSGOL GYMUNEDOL LLECHRYD,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),48,50,12.5
6672324,YSGOL GYMUNEDOL PENPARC,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),124,8.9,8.1
6672353,YSGOL GYMUNEDOL PONTRHYDFENDIGAID,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),60,20.8,16.7
6672361,YSGOL GYMUNEDOL PLASCRUG,Ceredigion,Primary schools,"Nursery, Infants & Juniors",Community,Dual language school / provision (Welsh and English) (including transitional),426,22.1,5.9
6672362,YSGOL CRAIG YR WYLFA,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),30,43.5,16.7
6672363,YSGOL PENRHYNCOCH,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),115,21.6,10.4
6672366,YSGOL GYMUNEDOL Y DDERI,Ceredigion,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),95,17.3,9.5
6672367,YSGOL GYMUNEDOL CENARTH,Ceredigion,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),93,28.2,8.6
6672368,YSGOL GYNRADD ABERTEIFI,Ceredigion,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),358,39.7,9.8
6672369,YSGOL BRO SION CWILT,Ceredigion,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),137,10.6,5.1
6672371,YSGOL GYNRADD T LLEW JONES,Ceredigion,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),156,18,7.1
6672372,YSGOL RHOS HELYG,Ceredigion,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),54,37,9.3
6672374,YSGOL DYFFRYN AERON,Ceredigion,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),210,22.5,12.4
6673058,YSGOL WIRFODDOL MYFENYDD,Ceredigion,Primary schools,Infants & Juniors,Voluntary controlled,Welsh medium school / provision (including transitional),85,25.4,9.4
6673061,YSGOL GYNRADD DYFFRYN CLEDLYN,Ceredigion,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),110,5.9,
6673318,ST PADARN'S ROMAN CATHOLIC PRIMARY SCHOOL,Ceredigion,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,Dual language school / provision (Welsh and English) (including transitional),150,21.2,7.3
6674042,Ysgol Gyfun Aberaeron,Ceredigion,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),568,23.4,12.1
6674044,Ysgol Uwchradd Aberteifi,Ceredigion,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),636,28.4,8
