ref,name,la,sector,type,governance,language,pupils,fsm_eligible,aln_pupils
6602130,Ysgol Gynradd Amlwch,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),236,24,17.4
6602131,Ysgol Gynradd Beaumaris,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),35,50,
6602132,Ysgol Gynradd Bodedern,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),89,17.1,10.1
6602133,Ysgol Gymuned Bodffordd,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),68,,11.8
6602135,Ysgol Gymuned Bryngwran,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),47,25,19.1
6602136,Ysgol Gynradd Brynsiencyn,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),40,29,27.5
6602138,Ysgol Cemaes,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),59,36.4,11.9
6602140,Ysgol Esceifiog,Isle of Anglesey,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),123,19.6,17.9
6602142,Ysgol Gymuned y Ffridd,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),84,36.1,21.4
6602145,Ysgol Gymuned Moelfre,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),38,44.8,15.8
6602146,Ysgol Gynradd Llanbedrgoch,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),23,25,30.4
6602152,Ysgol Gynradd Llanfairpwll,Isle of Anglesey,Primary schools,Infants & Juniors,Foundation,Welsh medium school / provision (including transitional),339,4.3,6.5
6602153,Ysgol Gymuned Llanfechell,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),81,21.2,14.8
6602154,Ysgol Y Graig,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),361,40.4,19.9
6602155,YSGOL GYNRADD LLANGOED,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),80,25.8,26.3
6602156,Ysgol Henblas,Isle of Anglesey,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),100,11.8,8
6602157,Ysgol Gymuned Llannerch-y-medd,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),119,26.1,18.5
6602160,Ysgol Pencarnisiog,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),61,10,9.8
6602161,Ysgol Gymuned Pentraeth,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),63,16,31.7
6602162,Ysgol Penysarn,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),57,20.8,19.3
6602163,Ysgol Santes Gwenfaen,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),110,10.5,8.2
6602164,Ysgol Gynradd Rhosneigr,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),65,18.2,15.4
6602165,Ysgol Gynradd Rhosybol,Isle of Anglesey,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),75,15,9.3
6602168,Ysgol Gymuned y Fali,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),109,37.3,7.3
6602169,Ysgol Llanfawr,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),246,58.8,23.6
6602170,Ysgol Goronwy Owen,Isle of Anglesey,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),144,12.1,6.3
6602173,Ysgol Gynradd Y Tywyn,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),103,27.8,13.6
6602174,Ysgol Gynradd Llandegfan,Isle of Anglesey,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),144,13.2,10.4
6602175,Ysgol Gynradd y Borth,Isle of Anglesey,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),173,17.1,12.1
6602176,Ysgol Gynradd Kingsland,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),158,33.9,12.7
6602177,Ysgol Gymraeg Morswyn,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),177,18,9.6
6602226,Ysgol Gynradd Corn Hir,Isle of Anglesey,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),333,12.5,8.4
6602227,Rhyd y Llan,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),114,24.1,7.9
6602228,Ysgol Parc y Bont,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),114,7.2,6.1
6603036,Cybi,Isle of Anglesey,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),399,36.2,32.6
6603037,Ysgol Santes Dwynwen,Isle of Anglesey,Primary schools,Infants & Juniors,Voluntary controlled,Welsh medium school / provision (including transitional),94,34.7,22.3
6603304,Ysgol Santes Fair,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,Welsh medium school / provision (including transitional),92,38.9,14.1
6604025,Ysgol Syr Thomas Jones,Isle of Anglesey,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),556,23.1,11.7
6604026,Ysgol Uwchradd Caergybi,Isle of Anglesey,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),813,28.4,18
6604027,Ysgol Gyfun Llangefni,Isle of Anglesey,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),788,19.3,9.9
6604028,Ysgol David Hughes,Isle of Anglesey,Secondary schools,Secondary (ages 11-19),Community,Dual language school / provision (Welsh and English) (including transitional),1102,16.8,9.9
6604029,Ysgol Uwchradd Bodedern,Isle of Anglesey,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),814,18.1,14.3
6605200,Ysgol Caergeiliog,Isle of Anglesey,Primary schools,"Nursery, Infants & Juniors",Foundation,Dual language school / provision (Welsh and English) (including transitional),299,15.8,6.7
6607011,Canolfan Addysg y Bont,Isle of Anglesey,Special schools,Special (with post-16 provision),Special school,Not applicable,130,51.5,100
6612000,Ysgol Gwaun Gyfni,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),119,34,16
6612004,YSGOL GYNRADD NEFYN,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),125,14.1,10.4
6612006,Ysgol Llanrug,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),260,9.4,5.4
6612008,Ysgol Gynradd Abererch,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),73,9.1,
6612010,YSGOL BEDDGELERT,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),24,21.7,
6612011,Ysgol Bethel,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),159,11.9,12.6
6612013,Ysgol Bodfeurig,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),60,,
6612015,YSGOL GYNRADD BORTH-Y-GEST,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),35,,
6612017,Ysgol Brynaerau,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),54,27.3,
6612026,Ysgol Y Gelli,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),208,6.4,5.3
6612028,Ysgol Penybryn,Gwynedd,Primary schools,Juniors,Community,Welsh medium school / provision (including transitional),98,29.6,13.3
6612033,Ysgol Treferthyr,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),125,18.9,10.4
6612036,Ysgol Gynradd Chwilog,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),88,,
6612039,YSGOL CRUD-Y-WERIN,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),50,,16
6612042,Ysgol Dolbadarn,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),124,8.8,16.1
6612046,Ysgol Gynradd Edern,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),79,12.5,16.5
6612048,Ysgol Bro Plenydd,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),90,12.9,
6612049,Ysgol Gynradd Garndolbenmaen,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),13,,
6612060,Ysgol Gynradd Llanbedrog,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),92,8.6,9.8
6612066,Ysgol Gynradd Llangybi,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),23,31.6,0
6612069,Ysgol Llanllechid,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),243,22.9,8.2
6612070,Ysgol Gynradd Llanllyfni,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),71,27.1,9.9
6612075,YSGOL BABANOD MORFA NEFYN,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),20,0,
6612078,Ysgol Baladeulyn,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),8,,
6612081,Ysgol Gynradd Nebo,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),12,,
6612085,Ysgol Gymuned Penisarwaun,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),32,,
6612089,Ysgol Bro Lleu,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),189,24,15.3
6612093,YSGOL GYNRADD  PENTREUCHAF,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),93,,
6612097,Ysgol Rhiwlas,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),37,25.9,32.4
6612098,Ysgol Gynradd Rhosgadfan,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),36,36.7,47.2
6612099,Ysgol Gynradd Rhostryfan,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),77,17.9,6.5
6612103,YSGOL SARN BACH,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),24,,
6612104,Ysgol Eifion Wyn,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),234,15.1,9.4
6612108,Ysgol Gynradd Talysarn,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),98,31.4,11.2
6612110,YSGOL Y GORLAN,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),111,19.5,14.4
6612111,Ysgol yr Eifl,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),39,35.5,
6612112,YSGOL GYNRADD TUDWEILIOG,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),53,,
6612113,Ysgol Waunfawr,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),117,16.3,14.5
6612116,Ysgol Glancegin,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),215,59.5,22.8
6612119,Ysgol Yr Hendre,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),354,35.4,12.7
6612122,Ysgol Bontnewydd,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),204,6.3,7.4
6612123,Ysgol Gymraeg y Garnedd,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),410,20.3,8.5
6612125,Ysgol Cymerau,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),244,20.4,16
6612126,Ysgol Abercaseg (Babanod),Gwynedd,Primary schools,Nursery & Infants,Community,Welsh medium school / provision (including transitional),67,40.5,11.9
6612127,Ysgol y Felinheli,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),150,4.8,9.3
6612181,Ysgol y Traeth,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),186,28.6,7
6612185,Ysgol Gynradd Dyffryn Dulas,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),37,,13.5
6612189,Ysgol Gynradd Dyffryn Ardudwy,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),59,11.6,8.5
6612190,Ysgol Bro Cynfal,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),50,25.7,10
6612192,Ysgol Edmwnd Prys,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),12,62.5,
6612194,Ysgol Gynradd Llanbedr,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),46,,15.2
6612198,YSGOL Y GARREG,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),2,,
6612199,Ysgol O M Edwards,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),71,,8.5
6612205,Ysgol Manod,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),91,22.7,8.8
6612207,Ysgol Gynradd Pennal,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),32,,
6612208,Ysgol Cefn Coch,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),148,15.3,14.9
6612210,Ysgol Talsarnau,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),20,,
6612211,Ysgol Gynradd Tanygrisiau,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),29,40,27.6
6612212,Ysgol Gynradd Penybryn,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),233,14.4,11.6
6612213,Ysgol Bro Hedd Wyn,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),60,15,15
6612214,Ysgol Bro Tryweryn,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),59,,
6612219,Ysgol Tanycastell,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),73,16.9,12.3
6612220,Ysgol Ffridd y LLyn,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),41,24.3,17.1
6612221,Ysgol Maenofferen,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),216,27.2,13
6612227,Ysgol Hirael,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),171,35.5,11.1
6612228,Ysgol Craig y Deryn,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),99,6.6,13.1
6612229,Ysgol Bro Llifon,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),149,7.3,11.4
6613004,YSGOL PONT Y GOF,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),103,12.7,13.6
6613005,Ysgol Gynradd Maesincla,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),301,49.3,19.3
6613009,Ysgol Y Faenol,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),223,10.5,6.7
6613010,YSGOL FOEL GRON,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),22,,
6613013,Ysgol Llandygai,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),75,30.8,22.7
6613018,Ysgol Gynradd Llandwrog,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),43,,
6613023,Ysgol Gynradd Llanystumdwy,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),28,25,
6613029,Ysgol Tregarth,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),123,20.2,8.9
6613030,Ysgol Cae Top,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),238,18,11.8
6613300,Ysgol Santes Helen,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,Welsh medium school / provision (including transitional),37,50,27
6613301,Ysgol Ein Harglwyddes,Gwynedd,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,Dual language school / provision (Welsh and English) (including transitional),159,18.5,10.7
6614002,Ysgol Dyffryn Ogwen Bethesda,Gwynedd,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),429,20.6,13.5
6614003,Ysgol Botwnnog,Gwynedd,Secondary schools,Secondary (ages 11-16),Community,Welsh medium school / provision (including transitional),469,15.4,10.9
6614004,Ysgol Brynrefail,Gwynedd,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),743,14.8,13.2
6614007,Ysgol Dyffryn Nantlle,Gwynedd,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),419,15.2,15.3
6614009,YSGOL EIFIONYDD,Gwynedd,Secondary schools,Secondary (ages 11-16),Community,Welsh medium school / provision (including transitional),367,17.2,15.3
6614031,Ysgol Y Moelwyn,Gwynedd,Secondary schools,Secondary (ages 11-16),Community,Welsh medium school / provision (including transitional),351,18.5,28.8
6614032,YSGOL UWCHRADD TYWYN,Gwynedd,Secondary schools,Secondary (ages 11-16),Community,Dual language school / provision (Welsh and English) (including transitional),373,17.8,14.2
6614034,Ysgol Ardudwy,Gwynedd,Secondary schools,Secondary (ages 11-16),Community,Welsh medium school / provision (including transitional),335,16.7,16.4
6614036,Ysgol Friars,Gwynedd,Secondary schools,Secondary (ages 11-19),Community,Dual language school / provision (Welsh and English) (including transitional),1261,15.3,11.4
6614037,Ysgol Tryfan,Gwynedd,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),536,19.2,13.1
6614039,Ysgol Syr Hugh Owen,Gwynedd,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),822,23.1,12.5
6614040,Ysgol Glan y Mor,Gwynedd,Secondary schools,Secondary (ages 11-16),Community,Welsh medium school / provision (including transitional),451,18,14.2
6615500,Bro Idris,Gwynedd,Middle schools,Middle (ages 3-16),Community,Welsh medium school / provision (including transitional),528,16,10.4
6615501,YSGOL Godre'r Berwyn,Gwynedd,Middle schools,Middle (ages 3-19),Community,Welsh medium school / provision (including transitional),564,25.3,7.6
6617002,Ysgol Pendalar,Gwynedd,Special schools,Special (with post-16 provision),Special school,Not applicable,120,59,100
6617010,Ysgol Hafod Lon,Gwynedd,Special schools,Special (with post-16 provision),Special school,Not applicable,125,31.3,100
6622012,Ysgol Betws y Coed,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),15,0,
6622023,Ysgol Capelulo,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Dual language school / provision (Welsh and English) (including transitional),115,13.5,7.8
6622038,Ysgol Deganwy,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Dual language school / provision (Welsh and English) (including transitional),342,20,4.7
6622043,Ysgol Dolwyddelan,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),20,,
6622044,Ysgol Ffordd Dyffryn,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Dual language school / provision (Welsh and English) (including transitional),167,47.3,13.8
6622053,Ysgol Glanwydden,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Dual language school / provision (Welsh and English) (including transitional),302,9.4,4.3
6622061,Ysgol Tudno,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Dual language school / provision (Welsh and English) (including transitional),171,33.9,4.1
6622063,Ysgol Morfa Rhianedd,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),159,49.6,4.4
6622086,Ysgol Penmachno,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),33,,
6622103,Ysgol Llandrillo yn Rhos,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,404,21.9,5.2
6622104,Ysgol Talhaiarn,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Dual language school / provision (Welsh and English) (including transitional),37,51.4,
6622108,Ysgol  T. Gwynn Jones,Conwy,Primary schools,Nursery & Infants,Community,English medium school / provision,162,22.6,4.9
6622110,Ysgol Maes Owen,Conwy,Primary schools,Juniors,Community,English medium school / provision,209,45,10
6622111,Ysgol Glan Gele,Conwy,Primary schools,Nursery & Infants,Community,English medium school / provision,285,27.1,6.3
6622112,Ysgol Glan Morfa,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),254,23.7,5.5
6622114,Ysgol Bod Alaw,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),332,16.3,5.1
6622115,Ysgol Pant y Rhedyn,Conwy,Primary schools,Juniors,Community,Dual language school / provision (Welsh and English) (including transitional),118,25.4,18.6
6622118,Ysgol Y Foryd,Conwy,Primary schools,Nursery & Infants,Community,English medium school / provision,184,30.9,8.7
6622121,Ysgol Craig y Don,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Dual language school / provision (Welsh and English) (including transitional),293,27.5,7.8
6622123,Ysgol Cerrigydrudion,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),88,12.2,6.8
6622132,"Ysgol Bro Aled, Llansannan",Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),71,12.5,
6622148,Ysgol Gynradd Bro Cernyw,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),109,8.6,4.6
6622221,Ysgol Sant Elfod,Conwy,Primary schools,Juniors,Community,English medium school / provision,281,37.7,10.7
6622222,Ysgol Capel Garmon,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),19,,
6622225,Ysgol Glan Conwy,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Dual language school / provision (Welsh and English) (including transitional),108,21.7,14.8
6622264,Ysgol Cynfran,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,139,38.8,16.5
6622267,Ysgol Iau Hen Golwyn,Conwy,Primary schools,Juniors,Community,English medium school / provision,200,37,12
6622270,Ysgol Pentrefoelas,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),46,,
6622271,Ysgol Bro Gwydir,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,Welsh medium school / provision (including transitional),315,20.1,7.3
6622272,Ysgol Nant Y Groes,Conwy,Primary schools,Infants & Juniors,Community,English medium school / provision,225,57,16.9
6622273,Ysgol Swn Y Don,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,111,80,28.8
6622274,Ysgol Awel y Mynydd,Conwy,Primary schools,Infants & Juniors,Community,Dual language school / provision (Welsh and English) (including transitional),414,32.5,9.2
6622275,Ysgol Dyffryn Yr Enfys,Conwy,Primary schools,Infants & Juniors,Community,Welsh medium school / provision (including transitional),100,25.3,15
6622276,Ysgol Minafon,Conwy,Primary schools,"Nursery, Infants & Juniors",Community,English medium school / provision,95,57.7,11.6
6623020,Ysgol Babanod Llanfairfechan,Conwy,Primary schools,Nursery & Infants,Voluntary controlled,Dual language school / provision (Welsh and English) (including transitional),107,25.9,
6623021,Ysgol Llangelynnin,Conwy,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),85,11.3,8.2
6623024,Ysgol Pencae,Conwy,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,Welsh medium school / provision (including transitional),179,27.7,18.4
6623032,Ysgol Ysbyty Ifan,Conwy,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),15,0,
6623038,Ysgol St. George,Conwy,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,English medium school / provision,72,24.5,
6623039,Ysgol Llanddoged,Conwy,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),47,,
6623040,Ysgol Eglwysbach,Conwy,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),52,,
6623043,Ysgol Porth Y Felin,Conwy,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Dual language school / provision (Welsh and English) (including transitional),287,26.2,8
6623059,Ysgol Llanddulas,Conwy,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,English medium school / provision,132,25.2,9.1
6623062,Ysgol Betws yn Rhos,Conwy,Primary schools,"Nursery, Infants & Juniors",Voluntary controlled,Welsh medium school / provision (including transitional),64,,
6623302,Ysgol Bodafon,Conwy,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,Dual language school / provision (Welsh and English) (including transitional),77,15.4,
6623303,Ysgol Bendigaid William Davies,Conwy,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,117,21,12.8
6623307,Ysgol  San Sior,Conwy,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,Dual language school / provision (Welsh and English) (including transitional),231,11.9,3.5
6623333,Ysgol Sant Joseph,Conwy,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,234,34.1,8.1
6623340,Ysgol y Plas,Conwy,Primary schools,"Nursery, Infants & Juniors",Voluntary aided,English medium school / provision,80,27,15
6624022,Ysgol John Bright,Conwy,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,1065,26.1,5.3
6624023,Ysgol Aberconwy,Conwy,Secondary schools,Secondary (ages 11-19),Community,English medium school / provision,1124,25.3,12.5
6624035,YSGOL DYFFRYN CONWY,Conwy,Secondary schools,Secondary (ages 11-19),Community,Welsh medium school / provision (including transitional),610,16,7
