urn,name,fsm_pct,sen_pct,eal_pct,girls_pct,boys_pct,class_size_avg,pupil_teacher_ratio,pupils_on_roll,year,eth_white_british,eth_irish,eth_traveller_irish,eth_white_other,eth_gypsy_roma,eth_mixed_wbcaribbean,eth_mixed_wbafrican,eth_mixed_wasian,eth_mixed_other,eth_indian,eth_pakistani,eth_bangladeshi,eth_asian_other,eth_caribbean,eth_african,eth_black_other,eth_chinese,eth_other,eth_unclassified
146978,Pensford Primary School,6.0,,0.0,48.0,52.0,28.0,,100,2025,92.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
146979,Chew Magna Primary School,3.0,,3.0,43.0,57.0,25.0,,100,2025,94.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
147072,Trinity Academy,33.2,,18.1,49.8,50.2,23.7,,1062,2025,45.3,0.1,0.0,6.9,0.0,3.9,1.7,2.0,7.3,4.2,4.2,1.7,1.9,2.4,13.2,1.7,0.8,2.3,0.6
147173,Peasedown St John Primary School,23.3,,7.7,50.9,49.1,21.1,,403,2025,85.4,0.0,0.0,4.2,0.0,0.0,0.0,2.0,2.5,1.0,0.0,0.0,1.2,0.2,1.5,1.0,0.0,0.5,0.5
147219,Blaise High School,44.9,,27.5,50.4,49.6,25.9,,914,2025,51.5,0.1,0.0,8.1,0.1,3.1,1.4,1.2,2.0,8.3,0.8,1.3,3.2,1.8,9.1,1.8,0.5,2.0,3.8
147476,Elmlea Infant School,5.2,,6.3,50.7,49.3,30.1,,270,2025,75.6,0.4,0.0,4.1,0.0,1.5,0.4,4.4,5.9,0.4,0.7,0.0,1.1,0.0,0.0,0.0,3.3,1.1,1.1
147555,Swainswick Church School,5.6,,2.8,41.7,58.3,24.0,,72,2025,91.7,1.4,0.0,2.8,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
147652,Avanti Gardens School,10.2,,12.6,48.8,51.2,29.3,,381,2025,63.8,0.8,0.0,9.4,0.0,3.7,1.8,5.5,3.7,2.4,1.3,0.3,1.0,0.3,1.6,0.5,0.3,2.9,0.8
147800,Whitchurch Primary School,23.4,,10.8,54.1,45.9,22.4,,231,2025,78.8,0.4,0.0,4.8,0.0,3.5,0.0,1.7,0.4,2.2,0.4,0.9,2.2,0.0,2.6,0.0,0.4,1.3,0.4
147801,St Mark's CofE School,31.3,,17.4,42.5,57.5,18.8,,259,2025,71.4,0.0,0.0,8.5,0.4,1.9,0.8,1.9,4.2,2.3,0.8,0.4,1.5,0.0,3.1,0.4,0.4,0.8,1.2
147861,Two Rivers Church of England Primary,15.9,,10.6,50.7,49.3,25.2,,227,2025,68.3,0.9,0.0,4.8,0.0,4.4,0.4,3.1,4.4,1.3,0.0,0.0,0.9,0.0,2.2,0.4,4.0,1.8,3.1
147889,Soundwell Academy,61.7,,7.1,22.7,77.3,,,141,2025,74.5,0.0,0.0,2.8,0.0,11.3,2.1,0.7,2.8,0.7,0.7,1.4,0.0,0.7,0.7,0.7,0.0,0.7,0.0
147890,St Mary's CofE Primary School,24.2,,3.3,50.5,49.5,24.3,,182,2025,90.7,0.5,0.0,0.0,0.0,2.2,0.5,1.1,0.0,1.6,0.0,0.0,0.5,0.0,1.6,0.0,0.0,0.0,1.1
147992,Paulton Infant School,14.2,,2.0,48.6,51.4,24.8,,148,2025,89.2,0.0,0.0,2.0,0.0,4.7,1.4,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7
147993,St Mary's Church of England Primary School,40.6,,2.4,49.1,50.9,20.6,,165,2025,95.8,0.6,0.0,3.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148296,North Star 82°,85.2,,1.9,9.3,90.7,,,54,2025,77.8,0.0,0.0,5.6,0.0,9.3,1.9,0.0,1.9,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,1.9,0.0
148322,North Star 240°,85.3,,1.3,17.3,82.7,,,75,2025,81.3,0.0,0.0,1.3,0.0,8.0,1.3,0.0,4.0,0.0,0.0,0.0,0.0,2.7,0.0,1.3,0.0,0.0,0.0
148516,St Nicholas Church School,39.3,,11.6,50.3,49.7,21.6,,173,2025,88.4,0.6,0.0,2.3,0.0,0.0,0.6,0.6,0.0,0.6,0.0,0.0,1.7,0.0,4.0,0.0,0.0,0.0,1.2
148679,St Werburgh's Primary School,30.5,,29.7,48.8,51.2,27.6,,387,2025,40.6,0.3,0.3,7.8,0.0,9.8,1.8,3.9,6.7,1.3,3.9,1.0,2.1,3.6,11.4,1.6,1.0,2.8,0.3
148841,Willow Park CofE Primary School,57.1,,67.9,66.1,33.9,18.7,,56,2025,12.5,0.0,0.0,10.7,0.0,1.8,0.0,3.6,1.8,3.6,0.0,0.0,16.1,1.8,10.7,17.9,3.6,14.3,1.8
148942,St Bernard's Catholic Primary School,26.4,,28.9,48.3,51.7,28.7,,201,2025,59.2,0.0,0.0,14.4,0.0,4.5,3.0,3.0,1.0,4.0,0.0,0.0,1.5,2.0,3.5,1.0,1.0,2.0,0.0
149121,Cabot Primary School,55.3,,68.5,54.3,45.7,28.1,,197,2025,2.5,0.0,0.0,0.5,0.0,1.0,0.5,1.0,2.5,1.0,15.7,1.0,3.6,3.0,56.9,0.0,0.0,9.1,1.5
149296,Bridge Farm Primary School,19.8,,6.1,46.5,53.5,28.8,,606,2025,83.0,0.0,0.0,4.5,0.0,1.7,1.5,1.0,1.7,1.0,1.0,0.2,1.2,0.5,1.5,0.0,0.8,0.7,0.0
149783,Oasis Academy Daventry Road,66.6,,12.2,47.2,52.8,25.7,,362,2025,73.8,0.0,0.6,5.5,0.0,2.5,0.6,0.6,2.8,0.6,2.5,0.0,0.3,0.6,4.7,0.6,0.0,4.1,0.6
149784,Oasis Academy Temple Quarter,43.0,,24.6,42.5,57.5,27.9,,391,2025,43.2,0.0,0.0,5.6,0.0,4.6,1.5,2.0,5.6,0.8,1.3,0.3,0.5,3.6,24.8,1.0,0.3,4.6,0.3
149843,North Star 265°,100.0,,0.0,0.0,100.0,,,1,2025,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149915,St Nicholas of Tolentine Catholic Primary School,68.8,,57.6,48.0,52.0,24.3,,125,2025,6.4,0.0,0.0,12.0,0.0,8.0,1.6,0.8,5.6,1.6,3.2,0.0,2.4,16.8,25.6,12.0,0.0,4.0,0.0
150226,Lansdown Park Academy,71.4,,0.0,28.6,71.4,,,7,2025,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150718,Wicklea Academy,25.4,,11.3,45.1,54.9,26.7,,213,2025,74.2,0.0,0.0,5.2,0.0,3.3,1.9,4.2,3.8,0.9,0.5,0.0,0.0,0.0,2.8,0.9,0.0,0.0,2.3
150919,Ashton Gate Primary School,9.3,,10.3,48.9,51.1,27.9,,749,2025,71.2,0.8,0.0,6.9,0.0,2.1,0.1,2.0,4.5,0.8,0.9,0.0,0.7,0.0,1.5,0.0,0.8,1.7,5.9
150940,Henleaze Infant School,3.4,,24.0,46.4,53.6,29.8,,179,2025,76.5,0.0,0.0,6.7,0.0,0.0,2.2,6.1,3.4,1.1,1.1,0.0,0.6,0.0,0.0,0.0,2.2,0.0,0.0
151116,Two Mile Hill Primary School,24.7,,29.7,50.5,49.5,28.4,,511,2025,44.0,0.0,0.0,9.2,1.2,4.5,0.6,2.2,4.9,2.0,5.1,0.4,3.9,4.1,9.4,3.1,0.6,2.9,2.0
151174,St Bonaventure's Catholic Primary School,6.9,,26.7,52.7,47.3,28.5,,404,2025,66.3,1.2,0.0,14.1,0.0,1.7,0.7,2.0,5.2,1.2,0.0,0.0,1.0,0.2,2.5,0.7,1.0,0.5,1.5
151299,E-Act Barton Hill Academy,73.8,,82.2,48.0,52.0,26.8,,275,2025,11.6,0.0,0.0,5.8,2.5,1.5,1.8,1.5,0.4,0.7,2.9,0.7,10.5,0.7,53.5,4.0,0.0,1.8,0.0
151302,E-Act Merchants' Academy,65.8,,15.1,51.1,48.9,23.4,,1018,2025,75.3,0.0,0.5,6.1,0.3,2.5,0.8,0.8,1.3,1.3,0.4,0.1,1.6,0.1,5.1,1.3,0.2,1.6,0.9
151303,E-Act Montpelier High School,32.1,,40.4,99.5,0.5,21.6,,859,2025,28.4,0.1,0.0,5.0,0.0,1.6,2.1,1.5,8.6,3.4,7.7,2.8,1.9,2.4,19.4,1.2,0.7,7.7,5.5
151366,Nova Primary School,36.0,,26.0,51.5,48.5,22.2,,200,2025,70.0,0.0,0.0,9.5,0.5,0.5,1.5,1.0,1.5,4.5,2.5,0.0,3.5,0.0,3.0,0.0,0.0,2.0,0.0
151806,St John's Catholic Primary School,10.2,,16.9,52.3,47.7,30.0,,325,2025,65.5,0.3,0.0,12.0,0.0,0.6,0.9,2.2,2.8,6.2,0.0,0.0,1.8,0.0,3.7,1.2,0.3,0.3,2.2
151807,St Mary's Catholic Primary School,12.0,,27.7,51.1,48.9,26.3,,184,2025,47.8,0.5,0.0,10.3,0.0,1.1,1.6,0.0,3.8,9.8,0.0,0.0,14.1,0.0,9.2,1.1,0.0,0.0,0.5
151920,Horfield Church of England Primary School,17.4,,24.4,43.7,56.3,27.4,,357,2025,58.0,0.6,0.3,5.6,0.0,0.3,1.7,4.2,2.2,9.8,1.7,0.6,1.4,1.4,7.0,3.4,0.8,0.6,0.6
