urn,name,phase,ks2_expected_pct,ks2_higher_pct,ks2_reading_avg,ks2_maths_avg,p8,a8,ebacc_aps,eng_maths_5plus_pct,year,source_url
145321,Ashton Vale Primary School,Primary,32.0,0.0,99.0,98.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
145398,Ashton Park School,Secondary,,,,,0.31,50.2,4.22,54.3,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
145399,Luckwell Primary School,Primary,63.0,11.0,108.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
145482,Chew Valley School,Secondary,,,,,-0.1,47.8,4.38,51.0,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance-revised/2023-24
145511,Bathampton Primary School,Primary,42.0,10.0,105.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
145512,Batheaston Church School,Primary,52.0,11.0,107.0,101.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
145513,St Saviours Junior Church School,Primary,47.0,9.0,106.0,100.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
145515,Bathwick St Mary Church School,Primary,65.0,15.0,108.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
145516,St Andrew's Church School,Primary,57.0,14.0,104.0,103.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
145517,St Stephens Church School,Primary,78.0,14.0,108.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
145582,Bathford Church School,Primary,67.0,7.0,108.0,106.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
145583,Freshford Church School,Primary,88.0,33.0,113.0,111.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
145716,St Michaels Junior Church School,Primary,13.0,0.0,99.0,95.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
145899,Mulberry Park Educate Together Primary Academy,Primary,,,,,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146101,Evergreen Primary Academy,Primary,67.0,13.0,104.0,105.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146261,Stoke Park Primary School,Primary,48.0,7.0,102.0,102.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
146263,Roundhill Primary School,Primary,36.0,6.0,101.0,98.0,,,,,2024,https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-2-attainment-national-experiment-statistics/2023-24
