urn,attainment8,progress8,ebacc_aps,eng_maths_5plus_pct
102048,55.2,0.54,5.38,64.0
102049,42.1,-0.15,3.74,37.0
102052,38.1,-0.12,3.08,34.0
102053,55.9,0.76,5.14,58.0
102055,81.6,0.79,8.02,98.0
102056,39.2,-0.14,3.71,34.0
102058,54.5,0.63,4.61,61.0
102061,41.6,,4.07,0.0
102065,67.2,,5.87,97.0
102066,,,,
102067,0.1,-1.82,0.0,0.0
102069,,,,
102070,,,,
102153,50.9,0.29,4.5,51.0
102154,53.9,0.15,4.68,63.0
102156,60.6,0.6,5.54,75.0
102157,43.2,-0.3,4.13,37.0
102162,44.0,,2.7,0.0
102163,41.4,,2.41,97.0
102171,40.8,,3.32,64.0
102175,6.9,,0.44,13.0
102176,5.8,-1.33,0.25,0.0
102178,,,,
102239,57.7,1.06,5.33,61.0
102245,25.8,,1.73,0.0
102247,11.7,,0.71,0.0
102256,36.6,,3.82,0.0
102257,18.9,,1.16,0.0
102260,,,,
102360,56.0,,4.98,64.0
102362,,,,
102449,36.6,-0.7,3.16,29.0
102451,43.6,0.23,4.05,43.0
102452,56.5,,5.34,0.0
102453,78.6,,6.61,99.0
102462,,,,
102464,,,,
102539,51.2,0.46,4.65,51.0
102545,64.6,1.13,6.0,86.0
102551,51.9,,3.81,31.0
102554,1.4,-1.56,0.04,0.0
102555,,,,
102611,41.1,,3.82,0.0
102619,44.1,,2.47,0.0
102620,26.6,,2.42,0.0
102673,58.2,0.87,5.13,67.0
102674,42.9,-0.02,3.64,40.0
102679,58.8,0.91,5.29,64.0
102681,58.2,0.7,5.53,68.0
102683,60.3,0.79,5.42,67.0
102684,22.9,,0.86,0.0
102692,70.5,,5.15,100.0
102694,14.7,,0.78,4.0
102697,10.3,-3.03,1.12,7.0
102698,,,,
102699,,,,
102776,46.0,0.13,4.28,45.0
102782,55.4,0.67,5.25,62.0
102786,56.3,0.31,4.92,69.0
102787,56.7,0.32,4.96,69.0
102849,40.5,-0.18,3.46,36.0
102850,77.4,0.77,7.62,97.0
102851,56.4,0.25,4.81,71.0
102852,79.0,0.82,7.78,99.0
102854,51.1,0.25,4.8,62.0
102856,61.7,0.98,5.28,77.0
102857,57.1,0.98,5.2,70.0
102858,46.3,0.05,3.93,44.0
102860,57.0,0.4,4.87,66.0
102861,49.0,0.31,4.34,56.0
102875,42.7,,3.36,0.0
102878,0.4,-1.55,0.0,0.0
