urn,attainment8,progress8,ebacc_aps,eng_maths_5plus_pct
113623,3.2,,0.1,0.0
113633,,,,
113634,0.4,-1.72,0.03,0.0
113635,,,,
113636,5.4,-1.7,0.33,0.0
113637,,,,
113638,0.5,-1.9,0.04,0.0
113641,,,,
113643,,,,
113644,,,,
113645,,,,
113648,5.0,-1.08,0.42,0.0
113649,4.2,-2.78,0.25,4.0
113650,,,,
113651,,,,
113654,,,,
113854,49.3,0.72,3.82,48.0
113863,46.5,0.05,3.89,48.0
113875,41.1,-0.51,3.84,38.0
113882,46.1,-0.16,4.07,47.0
113884,41.4,-0.1,3.48,31.0
113888,49.2,-0.13,4.5,60.0
113893,46.4,0.18,4.05,44.0
113901,51.0,0.29,4.81,50.0
113907,52.0,0.72,4.64,52.0
113910,14.2,,0.23,0.0
113912,25.1,,2.41,0.0
113918,29.6,,1.6,0.0
113919,37.5,,3.82,0.0
113920,45.9,,4.35,0.0
113922,26.2,,0.45,0.0
113932,25.0,,1.82,0.0
113937,27.0,,2.58,0.0
113942,,,,
113943,4.6,,0.38,0.0
113945,59.8,,5.54,65.0
113950,,,,
113952,,,,
113954,0.9,-1.58,0.0,0.0
113955,,,,
113956,,,,
113957,,,,
113960,,,,
113961,1.1,-1.47,0.11,3.0
113965,,,,
114305,39.5,-0.79,3.35,26.0
114308,51.7,0.42,4.58,55.0
114311,35.0,-0.78,2.88,13.0
114312,55.1,0.26,4.76,63.0
114315,45.1,-0.2,3.83,36.0
114330,67.6,,6.18,79.0
114331,34.8,,3.41,0.0
114336,41.8,,3.58,0.0
114337,7.5,-2.19,0.29,0.0
114340,7.5,-1.87,0.65,7.0
114345,,,,
114349,,,,
114579,54.5,0.36,4.98,68.0
114580,53.8,0.33,5.12,62.0
114581,35.8,-0.62,3.08,28.0
114584,53.5,0.44,4.95,58.0
114587,54.6,0.53,4.64,59.0
114588,37.7,-0.88,3.21,29.0
114590,50.1,0.1,4.69,52.0
114592,45.0,-0.06,3.67,40.0
114594,47.7,-0.08,4.51,46.0
114598,51.3,0.17,4.84,59.0
114606,49.7,0.03,4.47,50.0
114607,46.8,-0.12,4.35,46.0
114608,47.9,-0.21,4.16,51.0
114611,51.8,0.15,4.59,52.0
114612,58.3,0.96,5.43,66.0
114614,81.8,,7.58,99.0
114616,14.3,,1.09,0.0
114619,,,,
114622,41.7,,3.5,0.0
114625,41.2,,4.1,61.0
114627,65.3,,6.02,68.0
114634,57.4,,3.93,61.0
114635,10.7,,0.73,0.0
114640,41.0,,3.68,0.0
114645,9.2,,0.48,0.0
114650,41.5,,3.46,0.0
114656,8.8,,0.82,0.0
114657,27.7,,2.34,0.0
114658,61.1,,5.32,75.0
114659,23.2,,0.99,7.0
114660,,,,
114661,,,,
114678,1.3,-2.18,0.02,0.0
114680,,,,
114682,,,,
114687,,,,
114688,,,,
115237,45.8,-0.08,4.1,42.0
115238,48.1,-0.07,3.91,49.0
115239,54.0,0.63,4.9,56.0
115322,48.5,0.23,4.32,54.0
115382,54.1,0.39,4.75,60.0
115386,63.0,,5.32,100.0
115387,63.1,,5.32,75.0
115392,27.3,,1.79,0.0
115394,58.1,,5.51,77.0
115395,33.8,,3.4,0.0
115396,51.2,,4.25,52.0
115399,48.9,,4.12,45.0
115402,53.0,,4.28,58.0
115409,61.0,,5.41,80.0
115417,54.5,,4.93,62.0
115426,,,,
115429,47.6,,3.02,89.0
115436,50.3,,4.57,60.0
115437,59.2,,5.6,85.0
115457,1.0,-1.57,0.04,0.0
115464,,,,
115466,,,,
115469,,,,
115471,,,,
115475,,,,
115720,37.4,-0.43,3.01,28.0
115723,45.1,-0.23,3.96,42.0
115758,44.4,-0.06,3.73,38.0
115772,41.6,-0.11,3.61,34.0
115775,36.2,-0.48,3.05,20.0
115780,32.1,,2.71,0.0
115787,48.4,,4.05,57.0
115788,28.3,,2.31,26.0
115789,24.2,,2.4,0.0
115794,43.7,,2.54,0.0
115795,15.7,,0.94,0.0
115797,16.6,,1.16,0.0
115798,55.2,,3.72,0.0
115802,5.3,,0.33,0.0
115808,,,,
115809,10.3,,0.73,25.0
115810,63.6,,6.0,63.0
115813,,,,
115821,,,,
115823,,,,
115825,8.1,-1.16,0.43,3.0
116234,38.4,-1.05,3.38,31.0
116342,,,,
116405,45.2,-0.17,4.0,40.0
116407,61.8,0.89,5.63,80.0
116411,45.1,-0.28,4.22,39.0
116412,55.0,0.48,4.9,63.0
116413,47.1,-0.12,4.13,50.0
116418,41.9,-0.41,3.46,32.0
116419,50.5,0.2,4.35,58.0
116422,46.3,-0.27,4.13,46.0
116423,41.8,-0.5,3.45,35.0
116424,51.2,0.14,4.48,55.0
116426,38.2,-0.79,3.46,35.0
116427,39.9,-0.67,3.42,38.0
116428,40.0,-0.4,3.21,30.0
116430,38.6,-0.73,3.17,39.0
116431,47.0,0.01,3.91,41.0
116432,35.0,-0.71,2.94,22.0
116433,49.1,-0.22,4.27,53.0
116436,55.1,0.4,4.69,64.0
116437,46.8,-0.21,3.83,44.0
116438,50.8,0.27,4.56,57.0
116440,39.0,-0.7,3.23,35.0
116441,46.0,0.04,4.18,40.0
116442,43.1,-0.51,3.56,33.0
116445,40.8,-0.43,3.46,30.0
116446,41.4,-0.61,3.64,35.0
116447,35.7,-1.12,3.28,25.0
116448,52.0,0.09,4.72,55.0
116450,42.6,-0.34,3.48,33.0
116453,37.9,-1.0,3.22,27.0
116458,43.3,-0.48,3.58,33.0
116463,30.6,-0.92,2.69,15.0
116465,31.4,-1.01,2.71,19.0
116466,41.7,-0.2,3.62,34.0
116468,56.3,0.43,5.25,61.0
116469,45.1,0.09,3.79,41.0
116473,29.7,-1.14,2.2,12.0
116475,39.4,-0.76,3.52,36.0
116478,58.2,0.68,5.54,68.0
116498,47.9,-0.09,4.08,51.0
116502,51.6,0.01,4.73,55.0
116504,41.5,-0.64,3.55,35.0
116505,52.5,0.59,4.44,61.0
116506,42.5,-0.12,3.51,33.0
116507,59.2,0.86,5.25,66.0
116511,5.3,-1.31,0.51,3.0
116513,44.0,,3.72,0.0
116515,12.2,,0.94,0.0
116517,66.8,,6.04,84.0
116518,57.8,,5.25,71.0
116521,34.9,,3.42,0.0
116524,36.8,,2.82,0.0
116527,7.8,,0.91,0.0
116532,56.4,,3.7,91.0
116534,45.3,,3.11,0.0
116537,44.3,,4.26,0.0
116543,66.0,,5.86,82.0
116555,10.2,,0.65,0.0
116558,25.1,,2.25,0.0
116559,27.7,,2.54,0.0
116563,61.4,,5.78,71.0
116564,11.0,,0.94,17.0
116565,,,,
116568,37.9,,3.0,0.0
116573,35.3,,2.99,0.0
116574,,,,
116575,56.8,,4.69,80.0
116579,40.7,,3.92,0.0
116580,14.8,,0.2,0.0
116581,11.7,,0.17,0.0
116583,34.7,,2.47,0.0
116584,1.2,,0.04,0.0
116586,7.4,,0.56,0.0
116588,23.1,,1.93,29.0
116589,,,,
116593,,,,
116594,,,,
116595,54.4,,4.33,65.0
116603,15.2,-1.02,1.51,0.0
116609,,,,
116611,,,,
116614,,,,
116617,3.1,-1.45,0.1,0.0
116618,,,,
116622,,,,
116624,3.1,-2.19,0.24,0.0
116636,4.8,,0.48,0.0
116637,7.1,-1.56,0.48,3.0
116639,2.3,-1.7,0.1,0.0
116640,13.1,-1.1,0.93,4.0
116641,12.6,-0.4,0.17,0.0
116928,43.7,-0.21,3.87,43.0
116936,37.1,-0.7,3.13,29.0
116941,39.6,-0.75,3.29,33.0
116952,48.1,-0.26,4.41,45.0
116991,44.8,-0.54,3.82,37.0
116992,50.2,0.14,4.21,54.0
116999,52.3,0.33,4.23,61.0
117012,37.5,,2.54,0.0
117017,9.5,,0.35,0.0
117018,45.3,,3.44,0.0
117020,50.6,,4.52,50.0
117030,11.6,,1.24,0.0
117032,14.7,,0.9,0.0
117033,,,,
117034,45.9,,3.96,0.0
117035,2.9,,0.47,0.0
117036,34.0,,3.54,0.0
117037,13.6,,0.65,0.0
117038,52.9,,4.9,0.0
117041,47.0,,3.54,57.0
117042,,,,
117044,33.2,,3.28,31.0
117045,26.7,,2.29,0.0
117048,,,,
117049,0.6,-1.8,0.05,0.0
117055,,,,
117056,,,,
117062,,,,
117064,20.4,-1.9,2.0,10.0
117499,48.1,-0.07,4.31,44.0
117500,48.5,-0.14,4.22,47.0
117504,43.3,0.27,3.73,30.0
117518,43.1,-0.31,3.56,37.0
117530,49.9,0.4,4.12,52.0
117534,42.4,-0.11,3.45,26.0
117537,44.8,-0.11,4.09,43.0
117552,35.7,-0.82,2.94,25.0
117555,49.0,-0.1,4.22,48.0
117557,49.2,0.14,4.14,53.0
117577,59.2,0.49,5.73,68.0
117578,52.0,0.28,4.53,60.0
117600,57.6,,5.1,58.0
117602,40.4,,3.63,0.0
117604,16.1,,0.2,0.0
117605,22.0,,1.63,0.0
117606,51.4,,4.31,71.0
117607,12.0,,0.78,0.0
117609,17.9,,1.39,0.0
117612,56.4,,4.92,61.0
117613,53.0,,4.97,74.0
117616,39.9,,2.22,0.0
117617,48.7,,3.14,0.0
117618,44.6,,4.12,0.0
117622,55.2,,4.8,53.0
117623,17.6,,1.37,14.0
117633,42.5,,3.47,0.0
117638,35.7,,2.91,0.0
117640,54.8,,5.04,78.0
117641,64.5,,5.78,79.0
117646,,,,
117647,12.4,,0.95,0.0
117648,39.6,,2.5,0.0
117649,53.9,,2.75,100.0
117650,60.0,,5.47,76.0
117657,20.6,,2.08,0.0
117665,,,,
117667,0.9,-1.54,0.06,0.0
117669,0.3,-1.72,0.03,0.0
117671,,,,
117672,,,,
117674,8.2,-1.73,0.54,0.0
117679,,,,
117680,,,,
117681,,,,
117682,,,,
117683,,,,
117684,,,,
117685,4.9,-1.09,0.25,0.0
117686,5.0,-2.25,0.42,0.0
117690,,,,
118072,55.6,0.33,5.17,61.0
118073,46.4,-0.11,4.11,44.0
118075,42.2,-0.05,3.54,37.0
118076,40.5,-0.29,3.4,36.0
118082,41.6,-0.38,3.65,36.0
118085,41.0,-0.46,3.48,31.0
118097,43.4,-0.43,3.76,38.0
118109,48.9,0.14,3.55,42.0
118111,38.4,-0.71,2.93,21.0
118112,45.1,-0.15,4.06,42.0
118124,29.6,,2.12,0.0
118126,43.6,,3.7,0.0
118131,37.6,,3.5,0.0
118132,31.7,,3.08,0.0
118138,4.3,-1.94,0.14,0.0
118140,8.0,-1.82,0.28,0.0
118144,,,,
118145,,,,
118146,0.9,-1.58,0.04,0.0
118148,,,,
118223,11.5,,0.7,0.0
118225,56.4,,5.31,70.0
118226,3.1,,0.26,0.0
118227,,,,
118785,45.0,0.01,3.6,49.0
118788,44.3,0.15,3.6,37.0
118789,73.1,1.05,7.19,97.0
118790,60.8,0.25,5.6,83.0
118806,59.7,0.28,5.83,78.0
118835,64.8,0.25,6.02,86.0
118836,63.6,0.49,6.0,87.0
118840,65.7,0.49,6.0,90.0
118843,76.2,0.59,7.11,97.0
118879,33.9,-0.69,2.83,27.0
118884,68.5,0.46,6.19,91.0
118897,42.6,0.29,3.46,36.0
118898,37.8,-0.43,3.11,23.0
118903,37.8,-0.27,3.19,25.0
118908,37.6,-0.54,2.93,30.0
118919,38.2,-0.36,2.71,20.0
118928,39.5,-0.13,3.16,31.0
118931,60.2,0.56,5.44,85.0
118933,44.0,0.33,3.48,32.0
118937,45.1,,4.24,0.0
118939,17.4,,0.94,0.0
118940,14.1,,1.11,0.0
118944,49.2,,3.97,57.0
118946,32.4,,3.04,0.0
118947,37.5,,3.55,0.0
118948,18.4,,0.56,0.0
118949,36.9,,3.16,0.0
118952,19.9,,0.58,0.0
118957,48.5,,3.51,73.0
118958,21.5,,1.35,0.0
118959,8.6,,0.42,0.0
118978,13.5,,0.37,0.0
118991,34.5,,1.95,38.0
118993,1.0,,0.08,0.0
118995,11.0,,1.18,0.0
118996,16.0,,1.11,0.0
118998,39.8,,3.49,0.0
119001,34.5,,1.45,0.0
119002,14.4,,0.71,0.0
119006,21.0,,0.89,0.0
119007,34.9,,2.42,40.0
119009,1.0,,0.04,0.0
119013,,,,
119015,8.0,,0.44,0.0
119021,3.4,,0.33,0.0
119026,6.5,-2.65,0.59,0.0
119027,1.3,-2.73,0.15,0.0
119029,0.6,-2.78,0.0,0.0
119032,2.4,-1.99,0.12,0.0
119036,5.9,,0.57,0.0
119037,0.8,-1.83,0.0,0.0
119040,,,,
119041,,,,
119042,10.5,-2.66,0.88,0.0
119044,0.3,-1.61,0.0,0.0
119045,1.7,-2.55,0.09,0.0
119046,3.7,-1.89,0.11,0.0
119050,,,,
119051,22.5,-0.14,1.46,0.0
119052,,,,
119055,0.4,-1.67,0.03,0.0
119056,,,,
119058,4.2,-1.61,0.3,0.0
119059,,,,
119062,15.8,-2.09,0.89,5.0
119707,42.0,-0.09,3.65,36.0
119714,45.5,-0.07,3.62,39.0
119716,41.7,-0.34,3.42,32.0
119722,42.2,-0.41,3.43,40.0
119723,32.2,-0.76,2.79,12.0
119740,46.6,-0.16,3.82,48.0
119743,38.8,-0.66,3.19,29.0
119744,43.9,-0.43,3.81,37.0
119749,44.6,-0.38,3.7,39.0
119751,45.1,-0.52,3.69,41.0
119753,49.1,0.22,4.08,50.0
119759,57.3,0.51,5.17,69.0
119765,59.5,0.73,5.72,69.0
119767,48.4,0.04,4.08,51.0
119771,33.6,-0.9,2.81,23.0
119773,39.8,-0.28,3.37,34.0
119774,37.0,-0.62,3.29,28.0
119775,50.7,0.01,4.68,53.0
119779,47.9,-0.05,4.04,45.0
119780,45.0,0.0,3.6,38.0
119781,36.1,-0.43,2.95,22.0
119782,38.8,-1.04,3.32,26.0
119784,44.8,0.01,3.85,46.0
119785,41.7,-0.15,3.28,37.0
119788,48.9,-0.11,4.09,44.0
119789,47.1,-0.09,4.19,49.0
119790,31.2,-1.1,2.72,14.0
119792,53.9,0.35,4.5,63.0
119793,46.5,-0.12,4.28,47.0
119794,51.2,0.18,4.49,56.0
119798,38.2,-0.4,3.03,31.0
119799,42.0,-0.32,3.36,39.0
119800,47.3,0.11,4.13,42.0
119801,46.3,-0.16,3.8,47.0
119802,52.8,0.27,4.44,52.0
119803,52.3,0.34,4.59,63.0
119804,43.2,-0.04,3.77,35.0
119813,42.9,-0.79,3.52,39.0
119814,56.3,0.12,4.99,62.0
119816,42.5,-0.37,3.43,41.0
119817,38.6,,3.11,0.0
119818,18.3,,1.86,0.0
119819,35.4,,3.23,38.0
119820,34.1,,2.69,33.0
119824,32.8,,2.52,0.0
119826,57.5,,5.16,60.0
119833,53.2,,4.56,64.0
119835,42.9,,3.62,0.0
119836,36.7,,3.46,0.0
119845,21.9,,1.77,15.0
119849,4.5,,0.3,5.0
119853,4.0,,0.11,0.0
119856,34.4,,2.59,24.0
119861,,,,
119866,5.2,-1.93,0.19,0.0
119868,,,,
119871,,,,
119876,1.1,-1.62,0.0,0.0
119877,,,,
119878,,,,
119880,1.7,-1.67,0.23,0.0
119883,4.0,-1.51,0.34,3.0
119887,,,,
119889,,,,
119892,,,,
119893,,,,
119895,7.6,-2.58,0.65,6.0
119897,,,,
119898,8.4,-1.63,0.78,0.0
120274,43.6,-0.12,4.2,41.0
120277,47.2,0.38,3.88,45.0
120281,44.1,0.01,3.63,36.0
120286,51.3,0.67,4.31,54.0
120292,43.9,-0.02,4.08,39.0
120297,49.0,0.31,4.04,51.0
120298,40.9,-0.05,3.27,30.0
120316,44.1,,2.79,67.0
120317,29.4,,2.6,0.0
120320,30.0,,1.64,0.0
120322,27.7,,2.25,0.0
120324,39.8,,2.29,0.0
120325,42.6,,3.15,72.0
120326,27.7,,2.67,18.0
120330,0.7,,0.04,0.0
120331,68.0,,5.72,84.0
120332,50.1,,3.61,0.0
120333,19.7,,0.88,0.0
120334,25.9,,0.96,0.0
120339,15.3,,1.03,0.0
120341,8.9,,0.23,0.0
120345,51.0,,5.07,50.0
120348,11.9,-1.3,0.94,8.0
120352,,,,
120361,,,,
120642,64.3,0.52,6.09,85.0
120655,64.6,0.39,6.2,82.0
120724,27.7,,2.37,0.0
120729,23.2,,1.4,17.0
120735,31.8,,1.79,0.0
120740,,,,
120754,,,,
120755,,,,
121164,52.3,0.31,4.95,59.0
121222,34.0,,3.38,0.0
121224,42.0,,3.49,32.0
121229,4.3,,0.43,0.0
121241,23.0,,1.85,0.0
121242,12.0,,0.29,1.0
121245,49.2,,4.22,47.0
121246,1.0,,0.15,0.0
121250,18.1,,1.65,0.0
121252,8.3,,0.46,0.0
121254,,,,
121256,,,,
121257,,,,
121258,,,,
121260,,,,
121261,,,,
121262,,,,
121264,,,,
121265,,,,
121663,34.0,-0.43,2.97,15.0
121666,42.0,0.04,3.71,28.0
121667,43.0,-0.2,3.58,34.0
121668,36.9,-0.76,3.06,25.0
121670,40.1,-0.48,3.45,29.0
121673,48.6,0.1,4.51,50.0
121679,41.7,-0.48,3.61,32.0
121681,49.0,0.14,4.45,53.0
121687,45.2,-0.04,3.86,37.0
121689,44.1,-0.1,3.93,30.0
121690,43.3,0.55,3.56,28.0
121694,69.8,0.77,6.55,92.0
121699,34.4,-0.64,2.84,18.0
121700,35.3,-0.27,2.92,16.0
121702,46.7,-0.05,4.11,52.0
121711,46.3,-0.15,4.18,45.0
121716,64.8,0.49,6.23,86.0
121720,54.7,0.41,4.69,55.0
121722,33.1,,1.62,0.0
121724,25.5,,0.99,0.0
121725,59.2,,5.12,75.0
121726,46.9,,4.21,62.0
121730,39.1,,3.39,0.0
121733,37.7,,3.49,38.0
121735,20.7,,0.85,0.0
121740,39.4,,3.25,37.0
121741,42.4,,2.68,75.0
121743,64.3,,5.64,85.0
121748,47.9,,4.13,62.0
121749,35.6,,3.34,0.0
121752,55.6,,5.23,70.0
121758,52.7,,4.36,51.0
121764,3.7,-1.95,0.13,0.0
121765,13.9,-2.51,1.46,11.0
121766,,,,
121771,,,,
121772,,,,
121776,,,,
121778,,,,
121779,2.7,-1.36,0.09,3.0
122066,48.5,0.36,4.1,49.0
122129,14.0,,0.62,0.0
122131,32.2,,2.52,0.0
122136,43.9,,3.48,43.0
122137,49.5,,4.27,53.0
122144,39.1,,4.06,0.0
122149,10.8,,0.64,1.0
122150,8.4,,0.82,0.0
122151,55.3,,4.55,74.0
122162,5.2,-1.92,0.22,0.0
122328,43.9,-0.35,3.44,44.0
122362,42.2,-0.26,3.55,38.0
122363,40.7,0.1,3.47,27.0
122374,43.3,-0.35,3.52,46.0
122376,36.6,,3.43,0.0
122382,3.0,-1.33,0.15,0.0
122383,,,,
122384,,,,
122385,,,,
122389,3.9,-2.18,0.1,0.0
122854,47.2,-0.1,4.18,44.0
122908,23.0,,1.83,0.0
122912,25.4,,2.01,0.0
122915,49.9,,3.03,0.0
122936,73.5,,5.78,94.0
122949,4.3,-1.6,0.23,0.0
122953,,,,
122955,,,,
122956,3.5,-1.57,0.06,0.0
122957,,,,
122961,,,,
122964,,,,
123236,36.2,-0.6,3.14,25.0
123274,27.5,,2.48,0.0
123275,42.0,,3.65,0.0
123277,39.1,,2.66,0.0
123278,43.8,,3.54,35.0
123282,32.3,,3.05,0.0
123283,30.4,,2.69,0.0
123285,21.3,,1.9,0.0
123290,57.2,,4.87,76.0
123292,3.6,,0.17,0.0
123294,34.4,,3.13,0.0
123295,57.1,,5.16,60.0
123298,34.9,,3.13,0.0
123300,34.2,,2.85,0.0
123303,39.3,,3.69,0.0
123310,19.2,,1.19,0.0
123311,43.4,,2.74,0.0
123312,36.6,,1.79,0.0
123313,76.8,,7.15,99.0
123315,55.4,,4.81,60.0
123318,33.6,,2.3,35.0
123322,13.5,,1.19,0.0
123326,5.5,,0.22,0.0
123329,14.6,-1.65,1.49,0.0
123331,17.1,-2.14,0.9,30.0
123332,,,,
123333,,,,
123345,,,,
123564,47.5,0.17,4.27,48.0
123574,45.3,-0.38,3.85,39.0
123599,46.3,,3.5,47.0
123600,26.4,,1.61,0.0
123602,59.5,,4.89,69.0
123604,31.0,,2.81,31.0
123608,40.7,,2.65,0.0
123610,24.7,,2.18,0.0
123613,20.0,,1.74,19.0
123620,60.1,,5.07,73.0
123623,22.3,,0.03,0.0
123627,60.9,0.57,5.76,74.0
123631,3.6,-1.28,0.28,0.0
123635,,,,
123862,41.3,-0.11,3.38,38.0
123878,37.7,-0.79,3.24,25.0
123883,44.1,-0.11,3.63,42.0
123893,38.2,-0.69,3.3,32.0
123905,29.1,,1.76,0.0
123910,28.7,,2.85,0.0
123911,28.6,,3.03,0.0
123912,29.4,,3.0,0.0
123913,53.7,,4.29,34.0
123914,17.9,,1.6,0.0
123916,26.4,,2.46,0.0
123930,25.4,,2.31,0.0
123933,11.8,,1.0,0.0
123938,,,,
123940,0.8,-1.51,0.1,0.0
123944,,,,
123945,,,,
124392,36.9,-0.35,2.99,22.0
124395,36.2,-0.58,2.91,17.0
124396,47.7,-0.06,4.53,47.0
124400,43.7,-0.07,3.35,33.0
124408,52.8,0.18,4.79,61.0
124449,42.5,0.0,3.58,31.0
124467,34.1,-0.83,3.01,23.0
124468,43.1,-0.45,3.49,38.0
124471,57.0,,5.31,63.0
124473,48.9,,4.52,0.0
124474,56.6,,4.78,59.0
124476,53.3,,3.53,59.0
124486,43.4,,3.45,54.0
124487,37.8,,3.41,0.0
124488,26.9,,2.07,13.0
124489,62.7,,5.5,94.0
124495,8.4,,0.36,0.0
124498,,,,
124500,1.6,-1.57,0.08,0.0
124508,1.1,-1.7,0.03,0.0
124802,45.8,-0.14,3.75,43.0
124840,49.6,0.08,4.21,54.0
124856,45.3,0.05,3.92,40.0
124865,31.1,,2.33,0.0
124868,41.9,,2.99,60.0
124870,12.4,,0.63,0.0
124879,3.3,,0.26,0.0
124881,69.1,,5.69,89.0
124883,52.2,,4.48,57.0
124884,6.7,,0.59,0.0
124886,32.3,,3.32,0.0
124887,39.7,,3.9,0.0
124888,44.5,,3.38,0.0
124889,55.1,,4.87,51.0
124890,44.6,,4.45,43.0
124892,43.4,,3.59,3.0
124893,1.8,,0.0,0.0
124899,22.2,,2.0,0.0
124903,,,,
125259,49.0,-0.03,4.41,54.0
125271,48.6,0.17,4.1,52.0
125273,40.3,-0.58,3.61,36.0
125275,65.3,1.3,5.82,85.0
125278,58.8,0.63,5.37,72.0
125279,51.7,0.06,4.73,53.0
125281,45.1,-0.31,3.95,46.0
125311,60.1,0.72,5.29,73.0
125314,49.3,0.04,4.45,51.0
125315,58.3,0.68,4.87,67.0
125320,17.5,,1.14,0.0
125321,14.7,,1.16,0.0
125322,34.4,,3.32,0.0
125323,13.7,,0.21,0.0
125329,30.9,,2.79,0.0
125332,15.2,,0.39,0.0
125334,67.6,,5.85,93.0
125336,38.2,,4.05,0.0
125338,53.9,,4.44,72.0
125340,11.0,,1.04,0.0
125342,47.5,,2.75,0.0
125345,38.0,,2.0,0.0
125347,16.0,,1.06,0.0
125348,31.4,,2.83,0.0
125349,16.3,,0.9,0.0
125351,59.8,,5.4,85.0
125352,49.0,,4.38,0.0
125353,19.8,,1.22,0.0
125356,53.3,,4.77,0.0
125361,19.3,,0.95,0.0
125365,13.1,,0.16,0.0
125369,31.1,,1.22,0.0
125375,65.0,,5.83,83.0
125376,21.6,,2.56,0.0
125380,39.5,,2.92,0.0
125385,21.0,,0.56,0.0
125387,34.9,,3.09,0.0
125388,17.2,,0.87,0.0
125402,50.6,,4.73,0.0
125403,33.1,,2.52,41.0
125411,34.4,,3.31,0.0
125422,45.5,,2.54,0.0
125424,27.1,,1.18,0.0
125425,20.3,,1.57,0.0
125427,20.8,,1.58,0.0
125428,10.1,,0.7,0.0
125436,13.9,,0.35,7.0
125442,11.9,,1.25,0.0
125452,,,,
125453,,,,
125454,11.7,,1.0,0.0
125456,,,,
125458,22.0,-0.44,1.82,13.0
125459,20.9,-1.04,0.9,29.0
125468,,,,
125469,,,,
125470,,,,
125474,,,,
125477,,,,
125480,4.5,-1.33,0.17,0.0
125481,0.8,-2.05,0.01,0.0
125764,41.9,-0.23,3.42,37.0
125774,48.2,,3.9,39.0
125775,44.2,,3.59,0.0
125777,10.7,,0.27,0.0
125781,50.8,,3.82,0.0
125787,34.9,,2.73,0.0
125788,16.7,,0.82,0.0
125790,3.7,,0.35,0.0
125794,19.8,-0.9,1.56,7.0
125805,,,,
126064,56.7,0.76,4.88,68.0
126065,48.2,0.09,4.26,48.0
126066,54.6,0.31,5.08,56.0
126068,49.2,0.31,4.29,52.0
126069,42.2,-0.29,3.32,37.0
126071,37.6,-0.48,3.25,19.0
126080,42.8,-0.24,3.61,36.0
126081,40.0,-0.39,3.21,32.0
126085,51.3,0.26,4.83,59.0
126087,56.0,0.51,5.28,62.0
126088,49.3,0.14,4.4,50.0
126089,46.9,0.2,4.18,45.0
126093,54.4,0.45,4.55,62.0
126094,41.0,-0.17,3.46,31.0
126095,49.3,0.09,4.06,50.0
126096,55.5,0.97,4.81,60.0
126098,42.4,-0.39,3.46,35.0
126107,11.1,,0.73,0.0
126108,34.5,,3.66,0.0
126110,26.9,,2.17,0.0
126112,55.6,,5.03,75.0
126115,50.2,,4.52,0.0
126119,11.7,,0.66,6.0
126126,26.1,,1.6,0.0
126130,,,,
126133,12.5,,0.25,0.0
126134,51.9,,4.95,0.0
126136,12.7,,0.15,0.0
126137,30.3,,1.74,0.0
126139,9.2,,0.23,0.0
126141,1.0,,0.0,0.0
126149,3.1,,0.12,0.0
126154,21.4,-1.02,1.71,0.0
126155,,,,
126157,1.9,-1.43,0.04,0.0
126160,,,,
126161,,,,
126163,,,,
126170,10.1,-0.9,0.37,0.0
126458,41.4,0.0,3.23,27.0
126473,40.6,-0.27,3.48,42.0
126510,45.2,-0.04,3.63,32.0
126512,27.1,,2.6,0.0
126513,38.1,,2.27,0.0
126516,24.3,,1.29,0.0
126519,26.8,,1.13,0.0
126522,33.6,,1.6,0.0
126528,25.4,,0.74,0.0
126532,15.4,,1.2,0.0
126535,9.4,,0.52,0.0
126536,6.2,,0.0,0.0
126549,,,,
126550,8.5,-1.93,0.29,0.0
126705,1.6,-1.97,0.07,0.0
126712,8.8,-1.43,0.26,0.0
127003,6.9,,0.39,0.0
127715,5.1,-1.93,0.38,0.0
128078,,,,
129342,46.2,-0.09,3.79,44.0
129511,,,,
129571,,,,
129645,58.1,0.64,5.37,69.0
130247,34.1,-0.45,2.93,16.0
130274,,,,
130285,29.7,,2.47,13.0
130318,65.0,,6.03,69.0
130323,,,,
130371,,,,
130418,10.1,,0.86,16.0
130447,2.6,,0.15,3.0
130461,13.2,-2.52,1.12,8.0
130490,15.7,-2.53,1.22,13.0
130524,5.7,-3.07,0.31,4.0
130579,17.7,-2.63,1.41,4.0
130585,12.2,-2.65,0.94,6.0
130648,36.8,-1.07,3.15,43.0
130657,7.9,-3.03,0.55,5.0
130728,5.3,-3.32,0.27,4.0
130822,4.5,-3.34,0.25,0.0
130855,,,,
130902,,,,
130908,45.3,-0.37,3.94,42.0
130909,54.5,0.39,5.04,57.0
130912,57.3,0.78,5.39,68.0
130913,,,,
130942,1.4,-1.68,0.08,5.0
130961,,,,
130996,,,,
131004,0.8,,0.06,0.0
131015,30.7,,1.76,35.0
131016,,,,
131018,,,,
131022,,,,
131025,4.3,,0.18,0.0
131059,61.4,,5.65,78.0
131062,48.4,0.05,4.39,51.0
131065,40.8,-0.21,3.04,33.0
131068,,,,
131099,1.8,-1.41,0.3,0.0
131102,,,,
131119,46.0,,4.64,58.0
131122,33.5,,3.34,43.0
131124,40.5,,3.13,39.0
131127,28.0,,2.2,11.0
131136,4.3,,0.17,0.0
131138,,,,
131139,,,,
131163,,,,
131164,49.9,,4.44,47.0
131165,45.5,,4.49,0.0
131171,,,,
131181,,,,
131200,,,,
131237,1.9,,0.08,0.0
131258,0.4,-1.73,0.05,0.0
131262,51.9,0.35,4.96,56.0
131277,11.5,-1.37,1.03,0.0
131288,30.6,,1.41,44.0
