urn,name,phase,type,la,postcode,admissions_policy,mat,pupils,age_low,age_high,sixth_form,ofsted_region,region,constituency,idaci_quintile,ofsted_grade,ofsted_date,ofsted_pub_date,lat,lng,oa21,lsoa,msoa,ward,district,parish
146788,Bishop Sutton Primary School,Primary,Academy Converter,Bath and North East Somerset,BS39 5XD,Not applicable,Lighthouse Schools Partnership,171,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,03/07/2024,08/09/2024,51.333363,-2.597134,E00072652,Bath and North East Somerset 021C,Bath and North East Somerset 021,Chew Valley,Bath and North East Somerset,Stowey-Sutton
146952,Castle Primary School,Primary,Academy Sponsor Led,Bath and North East Somerset,BS31 2TS,Not applicable,THE PARTNERSHIP TRUST,365,2,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,3,2,03/10/2023,19/11/2023,51.405498,-2.506837,E00189507,Bath and North East Somerset 002D,Bath and North East Somerset 002,Keynsham South,Bath and North East Somerset,Keynsham
146964,May Park Primary School,Primary,Academy Sponsor Led,Bristol,BS5 6LE,Not applicable,Excalibur Academies Trust,468,3,11,Does not have a sixth form,South West,South West,Bristol North East,4,3,08/11/2023,15/01/2024,51.471646,-2.557558,E00073612,Bristol 057D,Bristol 057,Eastville,"Bristol, City of","Bristol, City of, unparished area"
146972,Beechen Cliff School,Secondary,Academy Converter,Bath and North East Somerset,BA2 4RE,Non-selective,Midsomer Norton Schools Partnership,1224,11,18,Has a sixth form,South West,South West,Bath,1,2,21/09/2023,08/11/2023,51.372258,-2.360322,E00073142,Bath and North East Somerset 012D,Bath and North East Somerset 012,Widcombe & Lyncombe,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
146976,Cameley CEVC Primary School,Primary,Academy Converter,Bath and North East Somerset,BS39 5BD,Not applicable,THE PARTNERSHIP TRUST,156,3,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,2,2,21/05/2014,19/06/2014,51.320903,-2.540963,E00072833,Bath and North East Somerset 020C,Bath and North East Somerset 020,Mendip,Bath and North East Somerset,Temple Cloud with Cameley
146978,Pensford Primary School,Primary,Academy Converter,Bath and North East Somerset,BS39 4AA,Not applicable,THE PARTNERSHIP TRUST,101,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,22/03/2017,12/05/2017,51.373175,-2.550255,E00072965,Bath and North East Somerset 020D,Bath and North East Somerset 020,Publow & Whitchurch,Bath and North East Somerset,Publow
146979,Chew Magna Primary School,Primary,Academy Converter,Bath and North East Somerset,BS40 8RQ,Not applicable,THE PARTNERSHIP TRUST,95,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,12/09/2023,15/10/2023,51.368108,-2.607641,E00072641,Bath and North East Somerset 021A,Bath and North East Somerset 021,Chew Valley,Bath and North East Somerset,Chew Magna
147072,Trinity Academy,Secondary,Free School,Bristol,BS7 9BY,Non-selective,Cathedral Schools Trust,946,11,18,Has a sixth form,South West,South West,Bristol North East,4,2,23/01/2024,10/03/2024,51.486113,-2.566866,E00074047,Bristol 014B,Bristol 014,Lockleaze,"Bristol, City of","Bristol, City of, unparished area"
147173,Peasedown St John Primary School,Primary,Academy Converter,Bath and North East Somerset,BA2 8DH,Unknown,Midsomer Norton Schools Partnership,414,2,11,Does not have a sixth form,South West,South West,Frome and East Somerset,3,2,26/09/2023,16/11/2023,51.315019,-2.428617,E00072944,Bath and North East Somerset 022E,Bath and North East Somerset 022,Peasedown,Bath and North East Somerset,Peasedown St. John
147219,Blaise High School,Secondary,Academy Sponsor Led,Bristol,BS10 7QH,Unknown,Greenshaw Learning Trust,909,11,19,Has a sixth form,South West,South West,Bristol North West,5,2,27/09/2023,07/12/2023,51.510203,-2.630093,E00073757,Bristol 001G,Bristol 001,Henbury and Brentry,"Bristol, City of","Bristol, City of, unparished area"
147476,Elmlea Infant School,Primary,Academy Converter,Bristol,BS9 3UU,Not applicable,Russell Education Trust,269,5,7,Does not have a sixth form,South West,South West,Bristol North West,1,1,28/03/2023,25/05/2023,51.483409,-2.623186,E00074330,Bristol 009C,Bristol 009,Westbury-on-Trym and Henleaze,"Bristol, City of","Bristol, City of, unparished area"
147555,Swainswick Church School,Primary,Academy Converter,Bath and North East Somerset,BA1 8DB,Not applicable,The Bath and Wells Diocesan Academies Trust,74,4,11,Does not have a sixth form,South West,South West,Bath,1,1,18/06/2024,21/07/2024,51.413631,-2.350726,E00072613,Bath and North East Somerset 010C,Bath and North East Somerset 010,Bathavon North,Bath and North East Somerset,Swainswick
147652,Avanti Gardens School,Primary,Free School,Bristol,BS16 2JP,Unknown,Avanti Schools Trust,305,2,11,Does not have a sixth form,South West,South West,Bristol North East,4,2,06/02/2024,11/03/2024,51.483942,-2.529295,E00178107,Bristol 013C,Bristol 013,Frome Vale,"Bristol, City of","Bristol, City of, unparished area"
147800,Whitchurch Primary School,Primary,Academy Converter,Bath and North East Somerset,BS14 0PT,Not applicable,Lighthouse Schools Partnership,224,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,3,2,22/05/2018,29/06/2018,51.407441,-2.558301,E00072967,Bath and North East Somerset 020E,Bath and North East Somerset 020,Publow & Whitchurch,Bath and North East Somerset,Whitchurch
147801,St Mark's CofE School,Secondary,Academy Converter,Bath and North East Somerset,BA1 6ND,Non-selective,Midsomer Norton Schools Partnership,253,11,18,Has a sixth form,South West,South West,Bath,2,2,08/02/2022,03/04/2022,51.39892,-2.350886,E00072790,Bath and North East Somerset 004B,Bath and North East Somerset 004,Lambridge,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
147861,Two Rivers Church of England Primary,Primary,Free School,Bath and North East Somerset,BS31 1GE,Non-selective,FUTURA LEARNING PARTNERSHIP,163,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,2,1,14/06/2023,30/07/2023,51.4094,-2.479102,E00072717,Bath and North East Somerset 003D,Bath and North East Somerset 003,Keynsham East,Bath and North East Somerset,Keynsham
147889,Soundwell Academy,Special,Free School Special,Bristol,BS16 4RL,Non-selective,Midsomer Norton Schools Partnership,140,5,18,Has a sixth form,South West,South West,Bristol North East,4,2,06/06/2023,19/07/2023,51.471883,-2.504997,E00075416,South Gloucestershire 026B,South Gloucestershire 026,New Cheltenham,South Gloucestershire,Kingswood
147890,St Mary's CofE Primary School,Primary,Academy Sponsor Led,Bath and North East Somerset,BA2 0JR,Not applicable,Midsomer Norton Schools Partnership,155,2,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,Not judged,15/10/2024,27/11/2024,51.329043,-2.471676,E00073023,Bath and North East Somerset 016G,Bath and North East Somerset 016,Timsbury,Bath and North East Somerset,Timsbury
147992,Paulton Infant School,Primary,Academy Converter,Bath and North East Somerset,BS39 7QY,Not applicable,THE PARTNERSHIP TRUST,164,5,7,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,03/07/2023,27/09/2023,51.303307,-2.502169,E00072933,Bath and North East Somerset 023C,Bath and North East Somerset 023,Paulton,Bath and North East Somerset,Paulton
147993,St Mary's Church of England Primary School,Primary,Academy Converter,Bath and North East Somerset,BA3 3NG,Not applicable,THE PARTNERSHIP TRUST,157,3,11,Does not have a sixth form,South West,South West,Frome and East Somerset,3,Not judged,10/12/2024,22/01/2025,51.288352,-2.427723,E00072982,Bath and North East Somerset 024C,Bath and North East Somerset 024,Radstock,Bath and North East Somerset,Radstock
148296,North Star 82°,Special,Academy Special Converter,Bristol,BS10 7AH,Not applicable,NORTH STAR ACADEMY TRUST,61,5,11,Does not have a sixth form,South West,South West,Bristol North West,5,2,15/04/2015,15/05/2015,51.507162,-2.630383,E00073762,Bristol 001G,Bristol 001,Henbury and Brentry,"Bristol, City of","Bristol, City of, unparished area"
148322,North Star 240°,Special,Academy Special Converter,Bristol,BS11 0QA,Not applicable,NORTH STAR ACADEMY TRUST,75,11,16,Not applicable,South West,South West,Bristol North West,5,2,22/02/2023,04/05/2023,51.503746,-2.656414,E00073949,Bristol 003C,Bristol 003,Avonmouth and Lawrence Weston,"Bristol, City of","Bristol, City of, unparished area"
148516,St Nicholas Church School,Primary,Academy Converter,Bath and North East Somerset,BA3 3QH,Not applicable,The Bath and Wells Diocesan Academies Trust,187,4,11,Does not have a sixth form,South West,South West,Frome and East Somerset,3,2,24/06/2015,03/09/2015,51.289319,-2.445902,E00189597,Bath and North East Somerset 024D,Bath and North East Somerset 024,Radstock,Bath and North East Somerset,Radstock
148679,St Werburgh's Primary School,Primary,Academy Converter,Bristol,BS2 9US,Not applicable,Cathedral Schools Trust,392,4,11,Does not have a sixth form,South West,South West,Bristol Central,4,2,10/07/2024,12/09/2024,51.470436,-2.573525,E00073156,Bristol 058A,Bristol 058,Ashley,"Bristol, City of","Bristol, City of, unparished area"
148841,Willow Park CofE Primary School,Primary,Voluntary Controlled School,Bristol,BS2 8BE,Unknown,NULL,69,4,11,Does not have a sixth form,South West,South West,Bristol Central,5,4,05/03/2024,15/05/2024,51.457205,-2.599411,E00073420,Bristol 060B,Bristol 060,Central,"Bristol, City of","Bristol, City of, unparished area"
148942,St Bernard's Catholic Primary School,Primary,Academy Converter,Bristol,BS11 9TU,Not applicable,THE CARDINAL NEWMAN CATHOLIC EDUCATIONAL TRUST,205,4,11,Does not have a sixth form,South West,South West,Bristol North West,4,2,18/10/2012,21/11/2012,51.487324,-2.675924,E00073205,Bristol 008D,Bristol 008,Avonmouth and Lawrence Weston,"Bristol, City of","Bristol, City of, unparished area"
149121,Cabot Primary School,Primary,Academy Converter,Bristol,BS2 9JE,Not applicable,Excalibur Academies Trust,197,4,11,Does not have a sixth form,South West,South West,Bristol Central,5,2,28/01/2015,26/02/2015,51.463052,-2.581205,E00073147,Bristol 058C,Bristol 058,Ashley,"Bristol, City of","Bristol, City of, unparished area"
149296,Bridge Farm Primary School,Primary,Academy Converter,Bristol,BS14 0LL,Not applicable,FUTURA LEARNING PARTNERSHIP,625,4,11,Does not have a sixth form,South West,South West,Bristol South,3,2,11/06/2024,14/07/2024,51.406267,-2.570622,E00073809,Bristol 052A,Bristol 052,Hengrove and Whitchurch Park,"Bristol, City of","Bristol, City of, unparished area"
149783,Oasis Academy Daventry Road,Secondary,Free School,Bristol,BS14 9SQ,Non-selective,OASIS COMMUNITY LEARNING,261,11,16,Does not have a sixth form,South West,South West,Bristol South,5,NULL,NULL,NULL,51.418926,-2.570779,E00073816,Bristol 047F,Bristol 047,Hengrove and Whitchurch Park,"Bristol, City of","Bristol, City of, unparished area"
149784,Oasis Academy Temple Quarter,Secondary,Free School,Bristol,BS3 4PZ,Non-selective,OASIS COMMUNITY LEARNING,278,11,18,Has a sixth form,South West,South West,Bristol South,3,NULL,NULL,NULL,51.444373,-2.585329,E00074229,Bristol 039E,Bristol 039,Southville,"Bristol, City of","Bristol, City of, unparished area"
149843,North Star 265°,PRU,Free School - Alternative Provision,Bristol,BS9 2NT,Non-selective,NORTH STAR ACADEMY TRUST,2,8,16,Does not have a sixth form,South West,South West,Bristol North West,NULL,NULL,NULL,NULL,51.492395,-2.647306,E00073958,Bristol 007A,Bristol 007,Avonmouth and Lawrence Weston,"Bristol, City of","Bristol, City of, unparished area"
149915,St Nicholas of Tolentine Catholic Primary School,Primary,Academy Converter,Bristol,BS5 0TJ,Not applicable,THE CARDINAL NEWMAN CATHOLIC EDUCATIONAL TRUST,135,4,11,Does not have a sixth form,South West,South West,Bristol East,5,4,15/06/2022,21/09/2022,51.459687,-2.577924,E00174253,Bristol 054D,Bristol 054,Lawrence Hill,"Bristol, City of","Bristol, City of, unparished area"
150226,Lansdown Park Academy,PRU,Academy Alternative Provision Converter,Bristol,BS14 8SJ,Not applicable,Cabot Learning Federation,6,5,16,Does not have a sixth form,South West,South West,Bristol East,5,4,09/02/2022,04/04/2022,51.408826,-2.544831,E00074292,Bristol 049F,Bristol 049,Stockwood,"Bristol, City of","Bristol, City of, unparished area"
150718,Wicklea Academy,Primary,Academy Sponsor Led,Bristol,BS4 4HR,Unknown,Cabot Learning Federation,220,7,11,Does not have a sixth form,South West,South West,Bristol East,4,3,15/09/2021,11/11/2021,51.444487,-2.54871,E00073394,Bristol 035F,Bristol 035,Brislington West,"Bristol, City of","Bristol, City of, unparished area"
150919,Ashton Gate Primary School,Primary,Academy Converter,Bristol,BS3 1SZ,Not applicable,Cathedral Schools Trust,751,4,11,Does not have a sixth form,South West,South West,Bristol South,2,1,05/03/2024,30/04/2024,51.443851,-2.615222,E00074247,Bristol 036A,Bristol 036,Southville,"Bristol, City of","Bristol, City of, unparished area"
150940,Henleaze Infant School,Primary,Academy Converter,Bristol,BS9 4LG,Not applicable,Cathedral Schools Trust,198,4,7,Does not have a sixth form,South West,South West,Bristol North West,1,2,13/09/2022,13/11/2022,51.485308,-2.605541,E00073846,Bristol 011A,Bristol 011,Westbury-on-Trym and Henleaze,"Bristol, City of","Bristol, City of, unparished area"
151116,Two Mile Hill Primary School,Primary,Academy Converter,Bristol,BS15 8AA,Not applicable,THE LEAF TRUST,554,4,11,Does not have a sixth form,South West,South West,Bristol East,4,3,21/06/2022,21/09/2022,51.461799,-2.518401,E00074121,Bristol 027C,Bristol 027,St George Central,"Bristol, City of","Bristol, City of, unparished area"
151174,St Bonaventure's Catholic Primary School,Primary,Academy Converter,Bristol,BS7 8HP,Not applicable,THE CARDINAL NEWMAN CATHOLIC EDUCATIONAL TRUST,403,4,11,Does not have a sixth form,South West,South West,Bristol Central,2,2,12/06/2013,04/07/2013,51.47738,-2.596306,E00073287,Bristol 016F,Bristol 016,Redland,"Bristol, City of","Bristol, City of, unparished area"
151299,E-Act Barton Hill Academy,Primary,Academy Sponsor Led,Bristol,BS5 9TX,Unknown,E-ACT,265,3,11,Does not have a sixth form,South West,South West,Bristol East,5,3,16/04/2024,14/05/2024,51.452607,-2.565645,E00074003,Bristol 056D,Bristol 056,Lawrence Hill,"Bristol, City of","Bristol, City of, unparished area"
151302,E-Act Merchants' Academy,Secondary,Academy Sponsor Led,Bristol,BS13 9AJ,Unknown,E-ACT,1070,3,18,Has a sixth form,South West,South West,Bristol South,5,4,19/03/2024,15/05/2024,51.411743,-2.611469,E00073717,Bristol 048A,Bristol 048,Hartcliffe and Withywood,"Bristol, City of","Bristol, City of, unparished area"
151303,E-Act Montpelier High School,Secondary,Academy Sponsor Led,Bristol,BS6 5RD,Unknown,E-ACT,851,11,18,Has a sixth form,South West,South West,Bristol Central,4,4,23/03/2022,16/06/2022,51.467758,-2.591228,E00073170,Bristol 020A,Bristol 020,Ashley,"Bristol, City of","Bristol, City of, unparished area"
151366,Nova Primary School,Primary,Academy Converter,Bristol,BS11 9NG,Not applicable,Trust in Learning (Academies),238,4,11,Does not have a sixth form,South West,South West,Bristol North West,5,2,05/07/2022,21/09/2022,51.496078,-2.682867,E00073219,Bristol 003B,Bristol 003,Avonmouth and Lawrence Weston,"Bristol, City of","Bristol, City of, unparished area"
151806,St John's Catholic Primary School,Primary,Academy Converter,Bath and North East Somerset,BA2 3NR,Not applicable,THE DUNSTAN CATHOLIC EDUCATIONAL TRUST,318,4,11,Does not have a sixth form,South West,South West,Bath,2,2,13/09/2023,18/10/2023,51.37336,-2.375861,E00072917,Bath and North East Somerset 014B,Bath and North East Somerset 014,Oldfield Park,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
151807,St Mary's Catholic Primary School,Primary,Academy Converter,Bath and North East Somerset,BA1 4EH,Not applicable,THE DUNSTAN CATHOLIC EDUCATIONAL TRUST,185,4,11,Does not have a sixth form,South West,South West,Bath,2,Not judged,01/10/2024,10/11/2024,51.39481,-2.393514,E00072874,Bath and North East Somerset 008D,Bath and North East Somerset 008,Newbridge,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
151920,Horfield Church of England Primary School,Primary,Academy Converter,Bristol,BS10 5BD,Not applicable,Lighthouse Schools Partnership,380,4,11,Does not have a sixth form,South West,South West,Bristol North West,3,3,16/04/2024,22/05/2024,51.493775,-2.59397,E00073898,Bristol 004C,Bristol 004,Horfield,"Bristol, City of","Bristol, City of, unparished area"
