urn,name,phase,type,la,postcode,admissions_policy,mat,pupils,age_low,age_high,sixth_form,ofsted_region,region,constituency,idaci_quintile,ofsted_grade,ofsted_date,ofsted_pub_date,lat,lng,oa21,lsoa,msoa,ward,district,parish
142941,Welton Primary School,Primary,Academy Converter,Bath and North East Somerset,BA3 2AG,Not applicable,Midsomer Norton Schools Partnership,171,2,11,Does not have a sixth form,South West,South West,Frome and East Somerset,2,2,25/06/2019,08/09/2019,51.290008,-2.474088,E00072848,Bath and North East Somerset 025A,Bath and North East Somerset 025,Midsomer Norton North,Bath and North East Somerset,Midsomer Norton
142942,Longvernal Primary School,Primary,Academy Converter,Bath and North East Somerset,BA3 2LP,Not applicable,Midsomer Norton Schools Partnership,199,2,11,Does not have a sixth form,South West,South West,Frome and East Somerset,2,2,02/02/2023,21/03/2023,51.284498,-2.495339,E00072869,Bath and North East Somerset 027C,Bath and North East Somerset 027,Midsomer Norton Redfield,Bath and North East Somerset,Midsomer Norton
142943,Combe Down CofE Primary School,Primary,Academy Converter,Bath and North East Somerset,BA2 5JQ,Not applicable,Palladian Academy Trust,416,4,11,Does not have a sixth form,South West,South West,Bath,3,2,19/09/2013,11/10/2013,51.359329,-2.348156,E00072680,Bath and North East Somerset 018C,Bath and North East Somerset 018,Combe Down,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
143010,Widcombe Infant School,Primary,Academy Converter,Bath and North East Somerset,BA2 4JG,Not applicable,Palladian Academy Trust,178,5,7,Does not have a sixth form,South West,South West,Bath,1,2,03/11/2021,06/12/2021,51.378142,-2.353213,E00073131,Bath and North East Somerset 012E,Bath and North East Somerset 012,Widcombe & Lyncombe,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
143083,Saltford CofE Primary School,Primary,Academy Converter,Bath and North East Somerset,BS31 3DW,Not applicable,FUTURA LEARNING PARTNERSHIP,423,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,1,28/02/2023,16/05/2023,51.400883,-2.461734,E00072988,Bath and North East Somerset 016C,Bath and North East Somerset 016,Saltford,Bath and North East Somerset,Saltford
143108,St Martin's Garden Primary School,Primary,Academy Sponsor Led,Bath and North East Somerset,BA2 2UN,Not applicable,Palladian Academy Trust,204,3,11,Does not have a sixth form,South West,South West,Bath,4,3,18/07/2023,14/09/2023,51.357024,-2.375138,E00072825,Bath and North East Somerset 017B,Bath and North East Somerset 017,Odd Down,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
143403,Hareclive E-ACT Academy,Primary,Academy Sponsor Led,Bristol,BS13 0HP,Not applicable,E-ACT,313,4,11,Not applicable,South West,South West,Bristol South,5,1,03/07/2019,29/07/2019,51.406488,-2.603605,E00074393,Bristol 053B,Bristol 053,Hartcliffe and Withywood,"Bristol, City of","Bristol, City of, unparished area"
143557,Oldfield Park Infant School,Primary,Academy Converter,Bath and North East Somerset,BA2 3RF,Not applicable,Palladian Academy Trust,180,5,7,Does not have a sixth form,South West,South West,Bath,3,2,08/07/2015,08/09/2015,51.381168,-2.377779,E00189515,Bath and North East Somerset 013F,Bath and North East Somerset 013,Westmoreland,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
143558,Oldfield Park Junior School,Primary,Academy Converter,Bath and North East Somerset,BA2 2JL,Not applicable,Palladian Academy Trust,248,7,11,Does not have a sixth form,South West,South West,Bath,3,2,03/10/2012,25/10/2012,51.373551,-2.383477,E00073101,Bath and North East Somerset 013D,Bath and North East Somerset 013,Southdown,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
143559,Widcombe CofE Junior School,Primary,Academy Converter,Bath and North East Somerset,BA2 4JG,Not applicable,Palladian Academy Trust,237,7,11,Does not have a sixth form,South West,South West,Bath,1,Not judged,18/03/2025,05/05/2025,51.378142,-2.353213,E00073131,Bath and North East Somerset 012E,Bath and North East Somerset 012,Widcombe & Lyncombe,Bath and North East Somerset,"Bath and North East Somerset, unparished area"
