urn,name,phase,type,la,postcode,admissions_policy,mat,pupils,age_low,age_high,sixth_form,ofsted_region,region,constituency,idaci_quintile,ofsted_grade,ofsted_date,ofsted_pub_date
109329,Saint Gregory's Catholic College,Secondary,Voluntary Aided School,Bath and North East Somerset,BA2 8PA,Non-selective,NULL,1005,11,18,Has a sixth form,South West,South West,Bath,2,2,08/11/2022,14/12/2022
109331,St Bernadette Catholic Secondary School,Secondary,Voluntary Aided School,Bristol,BS14 9LS,Non-selective,NULL,754,11,16,Does not have a sixth form,South West,South West,Bristol South,4,2,06/11/2018,03/12/2018
109385,Elmfield School for Deaf Children,Special,Community Special School,Bristol,BS7 0PU,Not applicable,NULL,50,2,16,Not applicable,South West,South West,Bristol North West,4,2,17/01/2013,08/02/2013
109386,Kingsweston School,Special,Community Special School,Bristol,BS11 0UT,Not applicable,NULL,179,4,19,Has a sixth form,South West,South West,Bristol North West,4,2,04/03/2020,18/03/2020
109391,Claremont School,Special,Community Special School,Bristol,BS9 4LR,Not applicable,NULL,70,2,19,Has a sixth form,South West,South West,Bristol North West,4,2,21/02/2013,20/03/2013
109393,New Fosseway School,Special,Foundation Special School,Bristol,BS13 0RG,Not applicable,NULL,147,4,19,Has a sixth form,South West,South West,Bristol South,5,2,11/06/2013,03/07/2013
109410,Briarwood School,Special,Community Special School,Bristol,BS16 4EA,Not applicable,NULL,167,3,19,Has a sixth form,South West,South West,Bristol North East,5,Not judged,08/10/2024,14/11/2024
131019,Newbridge Primary School,Primary,Community School,Bath and North East Somerset,BA1 3LL,Not applicable,NULL,402,4,11,Does not have a sixth form,South West,South West,Bath,2,2,21/01/2020,25/02/2020
131522,Hillcrest Primary School,Primary,Community School,Bristol,BS4 3DE,Not applicable,NULL,410,4,11,Does not have a sixth form,South West,South West,Bristol South,1,2,28/06/2016,21/07/2016
132196,Shirehampton Primary School,Primary,Community School,Bristol,BS11 9RR,Not applicable,NULL,493,2,11,Does not have a sixth form,South West,South West,Bristol North West,4,2,22/11/2017,09/01/2018
133689,Bristol Hospital Education Service,PRU,Pupil Referral Unit,Bristol,BS6 5JL,Not applicable,NULL,62,5,19,Not applicable,South West,South West,Bristol Central,4,1,14/11/2013,06/12/2013
134241,Knowle West Early Years Centre,Nursery,LA Nursery School,Bristol,BS4 1NN,Not applicable,NULL,148,2,4,Not applicable,South West,South West,Bristol South,5,2,19/04/2023,14/06/2023
134917,St Keyna Primary School,Primary,Community School,Bath and North East Somerset,BS31 2JP,Not applicable,NULL,248,3,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,3,2,15/03/2016,22/04/2016
135203,Knowle Park Primary School,Primary,Community School,Bristol,BS4 2XG,Not applicable,NULL,601,4,11,Does not have a sixth form,South West,South West,Bristol East,4,2,08/07/2015,07/09/2015
135300,Bristol Brunel Academy,Secondary,Academy Sponsor Led,Bristol,BS15 1NU,Non-selective,Cabot Learning Federation,1299,11,16,Has a sixth form,South West,South West,Bristol North East,4,2,11/06/2013,30/06/2013
135575,Bristol Cathedral Choir School,Secondary,Academy Sponsor Led,Bristol,BS1 5TS,Non-selective,Cathedral Schools Trust,1183,11,18,Has a sixth form,South West,South West,Bristol Central,3,2,29/11/2022,30/01/2023
135663,Oasis Academy John Williams,Secondary,Academy Sponsor Led,Bristol,BS14 9BU,Non-selective,OASIS COMMUNITY LEARNING,860,11,16,Does not have a sixth form,South West,South West,Bristol South,5,2,12/09/2023,08/11/2023
135671,Oasis Academy Brightstowe,Secondary,Academy Sponsor Led,Bristol,BS11 0EB,Non-selective,OASIS COMMUNITY LEARNING,739,11,19,Has a sixth form,South West,South West,Bristol North West,5,Not judged,05/11/2024,19/12/2024
135779,Sea Mills Primary School,Primary,Community School,Bristol,BS9 2HL,Not applicable,NULL,240,2,11,Does not have a sixth form,South West,South West,Bristol North West,5,2,27/06/2023,14/09/2023
135867,Air Balloon Hill Primary School,Primary,Community School,Bristol,BS5 7PB,Not applicable,NULL,766,4,11,Does not have a sixth form,South West,South West,Bristol East,4,2,18/04/2018,21/05/2018
135872,St Peter's Church of England Primary School (VC),Primary,Voluntary Controlled School,Bristol,BS13 8EF,Not applicable,NULL,456,3,11,Does not have a sixth form,South West,South West,Bristol South,5,2,11/06/2024,15/07/2024
135959,Bristol Metropolitan Academy,Secondary,Academy Sponsor Led,Bristol,BS16 2HD,Non-selective,Cabot Learning Federation,1096,11,19,Has a sixth form,South West,South West,Bristol North East,3,2,23/03/2022,12/06/2022
136311,Somervale Secondary School,Secondary,Academy Converter,Bath and North East Somerset,BA3 2JD,Non-selective,Midsomer Norton Schools Partnership,794,11,18,Has a sixth form,South West,South West,Frome and East Somerset,1,2,17/01/2013,08/02/2013
136335,Norton Hill Academy,Secondary,Academy Converter,Bath and North East Somerset,BA3 4AD,Non-selective,Midsomer Norton Schools Partnership,1765,11,18,Has a sixth form,South West,South West,Frome and East Somerset,1,Not judged,08/10/2024,14/11/2024
136483,Oldfield School,Secondary,Academy Converter,Bath and North East Somerset,BA1 9AB,Non-selective,NULL,1275,11,18,Has a sixth form,South West,South West,Bath,2,2,21/01/2020,09/02/2020
136804,Trinity Church School,Primary,Academy Converter,Bath and North East Somerset,BA3 3DE,Not applicable,Midsomer Norton Schools Partnership,193,2,11,Not applicable,South West,South West,Frome and East Somerset,3,2,09/05/2018,11/06/2018
136822,Bristol Free School,Secondary,Free School,Bristol,BS10 6NJ,Non-selective,Russell Education Trust,1292,11,19,Has a sixth form,South West,South West,Bristol North West,1,2,08/03/2022,05/05/2022
136830,Elmlea Junior School,Primary,Academy Converter,Bristol,BS9 3UF,Not applicable,Russell Education Trust,356,7,11,Not applicable,South West,South West,Bristol North West,1,Not judged,25/03/2025,06/05/2025
136966,Hayesfield Girls School,Secondary,Academy Converter,Bath and North East Somerset,BA2 3LA,Non-selective,Midsomer Norton Schools Partnership,1528,11,18,Has a sixth form,South West,South West,Bath,1,2,08/03/2017,05/04/2017
137062,Westbury-On-Trym Church of England Academy,Primary,Academy Converter,Bristol,BS9 3HZ,Not applicable,NULL,415,5,11,Not applicable,South West,South West,Bristol North West,3,2,20/01/2016,17/02/2016
137068,E-Act St Ursula's Academy,Primary,Academy Sponsor Led,Bristol,BS9 4DT,Not applicable,E-ACT,564,4,11,Not applicable,South West,South West,Bristol North West,3,2,25/02/2020,11/05/2020
137212,Waycroft Academy,Primary,Academy Converter,Bristol,BS14 8PS,Not applicable,Cabot Learning Federation,438,2,11,Not applicable,South West,South West,Bristol East,3,2,04/06/2024,30/06/2024
137440,Cotham School,Secondary,Academy Converter,Bristol,BS6 6DT,Non-selective,NULL,1655,11,18,Has a sixth form,South West,South West,Bristol Central,4,2,17/04/2018,10/05/2018
137493,Fosse Way School,Special,Academy Special Converter,Bath and North East Somerset,BA3 3AL,Not applicable,THE PARTNERSHIP TRUST,224,3,19,Has a sixth form,South West,South West,Frome and East Somerset,2,2,22/09/2021,15/11/2021
137518,Henleaze Junior School,Primary,Academy Converter,Bristol,BS9 4LG,Non-selective,Cathedral Schools Trust,317,7,11,Not applicable,South West,South West,Bristol North West,1,3,02/07/2024,25/07/2024
137523,Wellsway School,Secondary,Academy Converter,Bath and North East Somerset,BS31 1PH,Non-selective,FUTURA LEARNING PARTNERSHIP,1326,11,18,Has a sixth form,South West,South West,North East Somerset and Hanham,1,2,11/06/2019,03/07/2019
137548,Writhlington School,Secondary,Academy Converter,Bath and North East Somerset,BA3 3NQ,Non-selective,Midsomer Norton Schools Partnership,925,11,18,Has a sixth form,South West,South West,Frome and East Somerset,2,2,27/09/2023,09/11/2023
137627,St Bede's Catholic College,Secondary,Academy Converter,Bristol,BS11 0SU,Non-selective,NULL,1315,11,18,Has a sixth form,South West,South West,Bristol North West,3,2,08/07/2014,08/09/2014
137700,Ilminster Avenue E-ACT Academy,Primary,Academy Sponsor Led,Bristol,BS4 1BX,Not applicable,E-ACT,277,4,11,Not applicable,South West,South West,Bristol East,5,Not judged,11/03/2025,11/05/2025
137762,West Town Lane Academy,Primary,Academy Converter,Bristol,BS4 5DT,Not applicable,NULL,641,3,11,Not applicable,South West,South West,Bristol East,3,2,26/02/2019,18/03/2019
138204,Bedminster Down School,Secondary,Academy Converter,Bristol,BS13 7DQ,Non-selective,FUTURA LEARNING PARTNERSHIP,1029,11,16,Does not have a sixth form,South West,South West,Bristol South,5,Not judged,04/02/2025,12/03/2025
138278,Oasis Academy Connaught,Primary,Academy Sponsor Led,Bristol,BS4 1NH,Not applicable,OASIS COMMUNITY LEARNING,341,3,11,Not applicable,South West,South West,Bristol South,5,Not judged,26/11/2024,12/01/2025
138317,Christ Church Church of England Primary School,Primary,Academy Converter,Bristol,BS8 3AW,Not applicable,NULL,311,4,11,Does not have a sixth form,South West,South West,Bristol Central,2,1,02/07/2024,18/09/2024
138377,E-Act the Dolphin School,Primary,Academy Sponsor Led,Bristol,BS6 5PT,Not applicable,E-ACT,166,4,11,Not applicable,South West,South West,Bristol Central,5,3,01/11/2023,07/12/2023
138409,Oasis Academy Bank Leaze,Primary,Academy Sponsor Led,Bristol,BS11 0SN,Not applicable,OASIS COMMUNITY LEARNING,214,3,11,Not applicable,South West,South West,Bristol North West,5,2,15/06/2016,20/07/2016
138448,Orchard School Bristol,Secondary,Academy Sponsor Led,Bristol,BS7 0XZ,Non-selective,Trust in Learning (Academies),947,11,16,Not applicable,South West,South West,Bristol North West,4,2,20/10/2015,17/11/2015
138465,St Patrick's Catholic Primary School,Primary,Academy Converter,Bristol,BS5 8AS,Not applicable,THE CARDINAL NEWMAN CATHOLIC EDUCATIONAL TRUST,205,4,11,Does not have a sixth form,South West,South West,Bristol East,4,2,09/07/2024,10/09/2024
138522,Ralph Allen School,Secondary,Academy Converter,Bath and North East Somerset,BA2 7AD,Non-selective,Palladian Academy Trust,1382,11,18,Has a sixth form,South West,South West,Frome and East Somerset,1,2,26/02/2014,20/03/2014
138531,Westbury Park School,Primary,Academy Converter,Bristol,BS6 7NU,Not applicable,NULL,410,4,11,Does not have a sixth form,South West,South West,Bristol North West,1,Not judged,08/10/2024,12/11/2024
138617,Chew Stoke Church School,Primary,Academy Converter,Bath and North East Somerset,BS40 8UY,Not applicable,NULL,181,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,16/10/2014,02/12/2014
138655,Begbrook Primary Academy,Primary,Academy Converter,Bristol,BS16 1HG,Not applicable,Cabot Learning Federation,506,3,11,Does not have a sixth form,South West,South West,Bristol North East,3,2,26/09/2023,09/11/2023
138658,Summerhill Academy,Primary,Academy Converter,Bristol,BS5 7JU,Not applicable,Cabot Learning Federation,221,7,11,Does not have a sixth form,South West,South West,Bristol East,4,2,01/03/2022,05/05/2022
138668,Filton Avenue Primary School,Primary,Academy Converter,Bristol,BS7 9RP,Not applicable,Trust in Learning (Academies),570,5,11,Does not have a sixth form,South West,South West,Bristol North East,5,2,15/03/2022,11/05/2022
138708,Cotham Gardens Primary School,Primary,Academy Converter,Bristol,BS6 6AL,Not applicable,NULL,412,4,11,Does not have a sixth form,South West,South West,Bristol Central,3,Not judged,10/12/2024,29/01/2025
138709,Greenfield E-ACT Primary Academy,Primary,Academy Converter,Bristol,BS4 1QW,Not applicable,E-ACT,343,3,11,Does not have a sixth form,South West,South West,Bristol South,5,Not judged,15/10/2024,20/11/2024
138710,Oasis Academy New Oak,Primary,Academy Converter,Bristol,BS14 9SN,Not applicable,OASIS COMMUNITY LEARNING,222,4,11,Does not have a sixth form,South West,South West,Bristol South,4,2,05/04/2022,26/05/2022
138789,Minerva Primary Academy,Primary,Academy Sponsor Led,Bristol,BS16 4HA,Not applicable,Cabot Learning Federation,367,3,11,Not applicable,South West,South West,Bristol North East,4,2,11/06/2024,04/07/2024
138791,Frome Vale Academy,Primary,Academy Sponsor Led,Bristol,BS16 2QS,Not applicable,Cabot Learning Federation,202,4,11,Not applicable,South West,South West,Bristol North East,5,1,11/01/2022,15/02/2022
138794,Fishponds CofE Primary School,Primary,Academy Sponsor Led,Bristol,BS16 3UH,Not applicable,Lighthouse Schools Partnership,330,4,11,Not applicable,South West,South West,Bristol North East,4,2,09/03/2022,10/05/2022
138855,Redland Green School,Secondary,Academy Converter,Bristol,BS6 7EH,Non-selective,Excalibur Academies Trust,1676,11,18,Has a sixth form,South West,South West,Bristol Central,1,2,06/12/2023,23/01/2024
138900,Little Mead Primary Academy,Primary,Academy Converter,Bristol,BS10 6DS,Not applicable,Trust in Learning (Academies),447,3,11,Does not have a sixth form,South West,South West,Bristol North West,4,3,06/06/2023,18/07/2023
138904,Parson Street Primary School,Primary,Academy Converter,Bristol,BS3 5NR,Not applicable,Trust in Learning (Academies),264,3,11,Does not have a sixth form,South West,South West,Bristol South,5,2,09/07/2024,25/09/2024
138985,Broadlands Academy,Secondary,Academy Sponsor Led,Bath and North East Somerset,BS31 2DY,Non-selective,LIFT SCHOOLS,362,11,16,Does not have a sixth form,South West,South West,North East Somerset and Hanham,3,2,19/04/2023,14/06/2023
139033,St Teresa's Catholic Primary School,Primary,Academy Converter,Bristol,BS7 0UP,Not applicable,THE CARDINAL NEWMAN CATHOLIC EDUCATIONAL TRUST,209,4,11,Does not have a sixth form,South West,South West,Bristol North West,4,2,11/06/2024,07/07/2024
139049,Bridge Learning Campus,Secondary,Academy Sponsor Led,Bristol,BS13 0RL,Non-selective,Trust in Learning (Academies),1241,3,16,Does not have a sixth form,South West,South West,Bristol South,5,2,05/10/2021,10/11/2021
139050,E-Act Bannerman Road Community Academy,Primary,Academy Sponsor Led,Bristol,BS5 0HR,Not applicable,E-ACT,418,3,11,Does not have a sixth form,South West,South West,Bristol East,5,2,13/07/2022,26/09/2022
139116,Henbury Court Primary Academy,Primary,Academy Sponsor Led,Bristol,BS10 7NY,Not applicable,Trust in Learning (Academies),309,3,11,Does not have a sixth form,South West,South West,Bristol North West,5,Not judged,01/10/2024,19/11/2024
139247,E-Act the Kingfisher School,Primary,Academy Sponsor Led,Bristol,BS4 4BJ,Not applicable,E-ACT,133,3,11,Does not have a sixth form,South West,South West,Bristol East,5,2,11/07/2023,19/09/2023
139505,Stoke Bishop Church of England Primary School,Primary,Academy Converter,Bristol,BS9 1BW,Not applicable,NULL,395,4,11,Does not have a sixth form,South West,South West,Bristol North West,3,2,20/06/2012,06/07/2012
139828,Cathedral Primary School,Primary,Free School,Bristol,BS1 5TS,Non-selective,Cathedral Schools Trust,419,4,11,Does not have a sixth form,South West,South West,Bristol Central,4,Not judged,15/10/2024,20/11/2024
140079,Three Ways School,Special,Academy Special Converter,Bath and North East Somerset,BA2 5RF,Not applicable,NULL,250,4,19,Has a sixth form,South West,South West,Bath,3,2,10/05/2022,03/07/2022
140267,Redfield Educate Together Primary Academy,Primary,Academy Sponsor Led,Bristol,BS5 9RH,Non-selective,Educate Together Academy Trust,314,4,11,Does not have a sixth form,South West,South West,Bristol East,4,3,21/05/2024,17/06/2024
140268,Oasis Academy Marksbury Road,Primary,Academy Sponsor Led,Bristol,BS3 5JL,Not applicable,OASIS COMMUNITY LEARNING,373,4,11,Does not have a sixth form,South West,South West,Bristol South,5,1,10/07/2018,13/09/2018
140269,E-Act Fairlawn Primary School,Primary,Academy Sponsor Led,Bristol,BS6 5JL,Not applicable,E-ACT,229,4,11,Does not have a sixth form,South West,South West,Bristol Central,4,2,26/04/2018,05/06/2018
140409,Oasis Academy Long Cross,Primary,Academy Sponsor Led,Bristol,BS11 0LP,Not applicable,OASIS COMMUNITY LEARNING,521,2,11,Does not have a sixth form,South West,South West,Bristol North West,5,2,14/09/2016,18/10/2016
140452,St John's CofE Primary School,Primary,Academy Converter,Bath and North East Somerset,BA3 2JN,Not applicable,Midsomer Norton Schools Partnership,392,2,11,Does not have a sixth form,South West,South West,Frome and East Somerset,2,2,12/10/2010,05/11/2010
140677,North Star 180°,Special,Academy Special Sponsor Led,Bath and North East Somerset,BA2 5RF,Not applicable,NORTH STAR ACADEMY TRUST,103,4,16,Does not have a sixth form,South West,South West,Bath,3,2,23/04/2024,09/06/2024
140728,Hotwells Primary School,Primary,Academy Converter,Bristol,BS8 4ND,Not applicable,Cathedral Schools Trust,133,4,11,Does not have a sixth form,South West,South West,Bristol Central,3,2,27/09/2022,13/11/2022
141110,Easton CofE Primary School,Primary,Academy Sponsor Led,Bristol,BS5 0SQ,Not applicable,Lighthouse Schools Partnership,399,3,11,Does not have a sixth form,South West,South West,Bristol East,5,Not judged,29/04/2025,17/06/2025
141149,High Littleton CofE VC Primary School,Primary,Academy Converter,Bath and North East Somerset,BS39 6HF,Not applicable,Midsomer Norton Schools Partnership,185,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,Not judged,21/01/2025,11/02/2025
141652,Oasis Academy Brislington,Secondary,Academy Sponsor Led,Bristol,BS4 5EY,Non-selective,OASIS COMMUNITY LEARNING,1366,11,18,Has a sixth form,South West,South West,Bristol East,3,2,20/10/2021,21/11/2021
141705,Fairfield High School,Secondary,Academy Converter,Bristol,BS7 9NL,Non-selective,Excalibur Academies Trust,1082,11,16,Does not have a sixth form,South West,South West,Bristol North East,3,2,11/06/2013,03/07/2013
141706,Four Acres Academy,Primary,Academy Converter,Bristol,BS13 8RB,Non-selective,FUTURA LEARNING PARTNERSHIP,440,2,11,Does not have a sixth form,South West,South West,Bristol South,5,2,17/10/2023,23/11/2023
141767,Clutton Primary School,Primary,Academy Converter,Bath and North East Somerset,BS39 5RA,Not applicable,Midsomer Norton Schools Partnership,134,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,2,2,22/01/2014,13/02/2014
142032,Woodlands Academy,Primary,Academy Sponsor Led,Bristol,BS14 8DQ,Not applicable,Cabot Learning Federation,163,3,11,Does not have a sixth form,South West,South West,Bristol East,4,2,12/07/2022,22/09/2022
142125,Somerset Studio School,Secondary,Studio School,Bath and North East Somerset,BA3 3NQ,Unknown,Midsomer Norton Schools Partnership,138,14,19,Has a sixth form,South West,South West,Frome and East Somerset,2,2,15/03/2018,23/04/2018
142127,IKB Academy,Secondary,Studio School,Bath and North East Somerset,BS31 1SP,Unknown,FUTURA LEARNING PARTNERSHIP,135,14,19,Has a sixth form,South West,South West,North East Somerset and Hanham,2,2,05/04/2022,25/05/2022
142227,St John's Church of England Primary School,Primary,Academy Converter,Bath and North East Somerset,BS31 2NB,Not applicable,FUTURA LEARNING PARTNERSHIP,201,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,3,2,02/07/2024,09/09/2024
142569,Snowdon Village,PRU,Free School - Alternative Provision,Bristol,BS5 9QR,Unknown,Cabot Learning Federation,50,4,16,Does not have a sixth form,South West,South West,Bristol East,4,2,07/06/2023,27/07/2023
142715,Moorlands Infant School,Primary,Academy Converter,Bath and North East Somerset,BA2 2DQ,Not applicable,THE PARTNERSHIP TRUST,177,5,7,Does not have a sixth form,South West,South West,Bath,2,2,16/05/2023,09/07/2023
142716,Moorlands Junior School,Primary,Academy Converter,Bath and North East Somerset,BA2 2DE,Not applicable,THE PARTNERSHIP TRUST,237,7,11,Does not have a sixth form,South West,South West,Bath,2,2,28/02/2023,04/05/2023
142754,Weston All Saints CofE Primary School,Primary,Academy Converter,Bath and North East Somerset,BA1 4JR,Not applicable,THE PARTNERSHIP TRUST,464,4,11,Does not have a sixth form,South West,South West,Bath,2,2,26/09/2023,13/11/2023
142780,E-Act Venturers' Academy,Special,Free School Special,Bristol,BS13 9AX,Unknown,E-ACT,256,4,19,Has a sixth form,South West,South West,Bristol South,5,3,14/05/2024,18/06/2024
142941,Welton Primary School,Primary,Academy Converter,Bath and North East Somerset,BA3 2AG,Not applicable,Midsomer Norton Schools Partnership,171,2,11,Does not have a sixth form,South West,South West,Frome and East Somerset,2,2,25/06/2019,08/09/2019
142942,Longvernal Primary School,Primary,Academy Converter,Bath and North East Somerset,BA3 2LP,Not applicable,Midsomer Norton Schools Partnership,199,2,11,Does not have a sixth form,South West,South West,Frome and East Somerset,2,2,02/02/2023,21/03/2023
142943,Combe Down CofE Primary School,Primary,Academy Converter,Bath and North East Somerset,BA2 5JQ,Not applicable,Palladian Academy Trust,416,4,11,Does not have a sixth form,South West,South West,Bath,3,2,19/09/2013,11/10/2013
143010,Widcombe Infant School,Primary,Academy Converter,Bath and North East Somerset,BA2 4JG,Not applicable,Palladian Academy Trust,178,5,7,Does not have a sixth form,South West,South West,Bath,1,2,03/11/2021,06/12/2021
143083,Saltford CofE Primary School,Primary,Academy Converter,Bath and North East Somerset,BS31 3DW,Not applicable,FUTURA LEARNING PARTNERSHIP,423,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,1,28/02/2023,16/05/2023
143108,St Martin's Garden Primary School,Primary,Academy Sponsor Led,Bath and North East Somerset,BA2 2UN,Not applicable,Palladian Academy Trust,204,3,11,Does not have a sixth form,South West,South West,Bath,4,3,18/07/2023,14/09/2023
143403,Hareclive E-ACT Academy,Primary,Academy Sponsor Led,Bristol,BS13 0HP,Not applicable,E-ACT,313,4,11,Not applicable,South West,South West,Bristol South,5,1,03/07/2019,29/07/2019
143557,Oldfield Park Infant School,Primary,Academy Converter,Bath and North East Somerset,BA2 3RF,Not applicable,Palladian Academy Trust,180,5,7,Does not have a sixth form,South West,South West,Bath,3,2,08/07/2015,08/09/2015
143558,Oldfield Park Junior School,Primary,Academy Converter,Bath and North East Somerset,BA2 2JL,Not applicable,Palladian Academy Trust,248,7,11,Does not have a sixth form,South West,South West,Bath,3,2,03/10/2012,25/10/2012
143559,Widcombe CofE Junior School,Primary,Academy Converter,Bath and North East Somerset,BA2 4JG,Not applicable,Palladian Academy Trust,237,7,11,Does not have a sixth form,South West,South West,Bath,1,Not judged,18/03/2025,05/05/2025
143560,St Philip's CofE Primary School,Primary,Academy Converter,Bath and North East Somerset,BA2 2BN,Not applicable,Palladian Academy Trust,277,4,11,Does not have a sixth form,South West,South West,Bath,3,Not judged,05/11/2024,28/11/2024
143915,Norton Hill Primary School,Primary,Free School,Bath and North East Somerset,BA3 2UD,Unknown,Midsomer Norton Schools Partnership,263,2,11,Does not have a sixth form,South West,South West,Frome and East Somerset,2,1,11/07/2023,18/09/2023
144281,Farrington Gurney Church of England Primary School,Primary,Academy Converter,Bath and North East Somerset,BS39 6TY,Not applicable,Midsomer Norton Schools Partnership,93,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,25/05/2011,15/06/2011
144282,Marksbury CofE Primary School,Primary,Academy Converter,Bath and North East Somerset,BA2 9HS,Not applicable,THE PARTNERSHIP TRUST,92,4,11,Does not have a sixth form,South West,South West,Frome and East Somerset,2,2,02/07/2024,21/07/2024
144283,Chandag Primary School,Primary,Academy Converter,Bath and North East Somerset,BS31 1PQ,Not applicable,FUTURA LEARNING PARTNERSHIP,427,2,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,09/10/2014,20/11/2014
144285,St Matthias Academy,PRU,Academy Alternative Provision Converter,Bristol,BS16 2BG,Not applicable,Midsomer Norton Schools Partnership,43,5,16,Not applicable,South West,South West,Bristol North East,3,Not judged,24/09/2024,23/10/2024
144286,Notton House Academy,Special,Academy Special Converter,Bristol,SN15 2NF,Not applicable,Midsomer Norton Schools Partnership,53,8,19,Has a sixth form,South West,South West,Chippenham,1,2,03/02/2015,02/03/2015
144509,The City Academy Bristol,Secondary,Academy Sponsor Led,Bristol,BS5 9JH,Unknown,Cabot Learning Federation,970,11,18,Has a sixth form,South West,South West,Bristol East,5,2,02/04/2019,06/05/2019
144655,Knowle DGE Academy,Special,Academy Special Converter,Bristol,BS4 1QY,Not applicable,Midsomer Norton Schools Partnership,163,5,19,Has a sixth form,South West,South West,Bristol South,5,2,11/06/2024,14/07/2024
