urn,name,phase,type,la,postcode,admissions_policy,mat,pupils,age_low,age_high,sixth_form,ofsted_region,region,constituency,idaci_quintile,ofsted_grade,ofsted_date,ofsted_pub_date
146263,Roundhill Primary School,Primary,Academy Sponsor Led,Bath and North East Somerset,BA2 1LG,Non-selective,THE PARTNERSHIP TRUST,259,2,11,Does not have a sixth form,South West,South West,Bath,4,4,27/06/2023,27/09/2023
146396,St Julian's Church School,Primary,Academy Converter,Bath and North East Somerset,BA2 8QS,Not applicable,Midsomer Norton Schools Partnership,112,4,11,Does not have a sixth form,South West,South West,Frome and East Somerset,1,2,25/09/2018,16/10/2018
146409,Westfield Primary School,Primary,Academy Converter,Bath and North East Somerset,BA3 3XX,Not applicable,Midsomer Norton Schools Partnership,374,2,11,Not applicable,South West,South West,Frome and East Somerset,2,2,24/01/2023,14/03/2023
146424,Shoscombe Church School,Primary,Academy Converter,Bath and North East Somerset,BA2 8NB,Not applicable,Midsomer Norton Schools Partnership,117,3,11,Does not have a sixth form,South West,South West,Frome and East Somerset,2,2,21/05/2014,17/06/2014
146572,Wansdyke Primary School,Primary,Academy Converter,Bristol,BS14 0DU,Not applicable,FUTURA LEARNING PARTNERSHIP,209,4,11,Does not have a sixth form,South West,South West,Bristol South,5,2,18/01/2023,05/03/2023
146687,Cheddar Grove Primary School,Primary,Academy Converter,Bristol,BS13 7EN,Not applicable,FUTURA LEARNING PARTNERSHIP,453,3,11,Does not have a sixth form,South West,South West,Bristol South,4,2,27/06/2023,14/09/2023
146689,Ubley Church of England Primary School,Primary,Academy Converter,Bath and North East Somerset,BS40 6PJ,Not applicable,Lighthouse Schools Partnership,74,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,27/06/2023,14/09/2023
146707,Stanton Drew Primary School,Primary,Academy Converter,Bath and North East Somerset,BS39 4EQ,Not applicable,Lighthouse Schools Partnership,57,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,Not judged,01/10/2024,10/11/2024
146787,East Harptree Church of England Primary School,Primary,Academy Converter,Bath and North East Somerset,BS40 6BD,Not applicable,Lighthouse Schools Partnership,83,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,30/04/2013,24/05/2013
146788,Bishop Sutton Primary School,Primary,Academy Converter,Bath and North East Somerset,BS39 5XD,Not applicable,Lighthouse Schools Partnership,171,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,03/07/2024,08/09/2024
146952,Castle Primary School,Primary,Academy Sponsor Led,Bath and North East Somerset,BS31 2TS,Not applicable,THE PARTNERSHIP TRUST,365,2,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,3,2,03/10/2023,19/11/2023
146964,May Park Primary School,Primary,Academy Sponsor Led,Bristol,BS5 6LE,Not applicable,Excalibur Academies Trust,468,3,11,Does not have a sixth form,South West,South West,Bristol North East,4,3,08/11/2023,15/01/2024
146972,Beechen Cliff School,Secondary,Academy Converter,Bath and North East Somerset,BA2 4RE,Non-selective,Midsomer Norton Schools Partnership,1224,11,18,Has a sixth form,South West,South West,Bath,1,2,21/09/2023,08/11/2023
146976,Cameley CEVC Primary School,Primary,Academy Converter,Bath and North East Somerset,BS39 5BD,Not applicable,THE PARTNERSHIP TRUST,156,3,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,2,2,21/05/2014,19/06/2014
146978,Pensford Primary School,Primary,Academy Converter,Bath and North East Somerset,BS39 4AA,Not applicable,THE PARTNERSHIP TRUST,101,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,22/03/2017,12/05/2017
146979,Chew Magna Primary School,Primary,Academy Converter,Bath and North East Somerset,BS40 8RQ,Not applicable,THE PARTNERSHIP TRUST,95,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,12/09/2023,15/10/2023
147072,Trinity Academy,Secondary,Free School,Bristol,BS7 9BY,Non-selective,Cathedral Schools Trust,946,11,18,Has a sixth form,South West,South West,Bristol North East,4,2,23/01/2024,10/03/2024
147173,Peasedown St John Primary School,Primary,Academy Converter,Bath and North East Somerset,BA2 8DH,Unknown,Midsomer Norton Schools Partnership,414,2,11,Does not have a sixth form,South West,South West,Frome and East Somerset,3,2,26/09/2023,16/11/2023
147219,Blaise High School,Secondary,Academy Sponsor Led,Bristol,BS10 7QH,Unknown,Greenshaw Learning Trust,909,11,19,Has a sixth form,South West,South West,Bristol North West,5,2,27/09/2023,07/12/2023
147476,Elmlea Infant School,Primary,Academy Converter,Bristol,BS9 3UU,Not applicable,Russell Education Trust,269,5,7,Does not have a sixth form,South West,South West,Bristol North West,1,1,28/03/2023,25/05/2023
147555,Swainswick Church School,Primary,Academy Converter,Bath and North East Somerset,BA1 8DB,Not applicable,The Bath and Wells Diocesan Academies Trust,74,4,11,Does not have a sixth form,South West,South West,Bath,1,1,18/06/2024,21/07/2024
147652,Avanti Gardens School,Primary,Free School,Bristol,BS16 2JP,Unknown,Avanti Schools Trust,305,2,11,Does not have a sixth form,South West,South West,Bristol North East,4,2,06/02/2024,11/03/2024
147800,Whitchurch Primary School,Primary,Academy Converter,Bath and North East Somerset,BS14 0PT,Not applicable,Lighthouse Schools Partnership,224,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,3,2,22/05/2018,29/06/2018
147801,St Mark's CofE School,Secondary,Academy Converter,Bath and North East Somerset,BA1 6ND,Non-selective,Midsomer Norton Schools Partnership,253,11,18,Has a sixth form,South West,South West,Bath,2,2,08/02/2022,03/04/2022
147861,Two Rivers Church of England Primary,Primary,Free School,Bath and North East Somerset,BS31 1GE,Non-selective,FUTURA LEARNING PARTNERSHIP,163,4,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,2,1,14/06/2023,30/07/2023
147889,Soundwell Academy,Special,Free School Special,Bristol,BS16 4RL,Non-selective,Midsomer Norton Schools Partnership,140,5,18,Has a sixth form,South West,South West,Bristol North East,4,2,06/06/2023,19/07/2023
147890,St Mary's CofE Primary School,Primary,Academy Sponsor Led,Bath and North East Somerset,BA2 0JR,Not applicable,Midsomer Norton Schools Partnership,155,2,11,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,Not judged,15/10/2024,27/11/2024
147992,Paulton Infant School,Primary,Academy Converter,Bath and North East Somerset,BS39 7QY,Not applicable,THE PARTNERSHIP TRUST,164,5,7,Does not have a sixth form,South West,South West,North East Somerset and Hanham,1,2,03/07/2023,27/09/2023
