seed,schuid,school_type,centre_type,name,address1,address2,address3,postcode,la,la_code,datazone,uprn,denomination,fte_teacher,pupil_roll,prop_minority_ethnic,prop_20pc_most_deprived,dz_simd_percentile,dz_simd_most_deprived_15pct,dz_simd_most_deprived_16_25pct,dz_simd_most_deprived_25pct,urban_rural_8,urban_rural_6,urban_rural_8_desc,urban_rural_6_desc,grid_easting,grid_northing,lat,lng
5340225,5340225P,Primary,Local Authority,Abernyte Primary School,Abernyte,Inchture,,PH14 9ST,Perth and Kinross,S12000048,S01011967,124062128,Non-denominational,2.7,27,0%,0%,70,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,731111,56.466279,-3.2046483,
5340322,5340322P,Primary,Local Authority,Aberuthven Primary School,Main Road,Aberuthven,PERTHSHIRE,PH3 1HE,Perth and Kinross,S12000048,S01011871,124040503,Non-denominational,2.8,36,*,*,60,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,715415,56.3200851,-3.6521022,
8545022,8545022P,Primary,Local Authority,Abington Primary School,Carlisle Road,Abington,BIGGAR,ML12 6SD,South Lanarkshire,S12000029,S01012572,484181069,Non-denominational,4.1,40,0%,*,41,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,623660,55.4950027,-3.6932987,
5257530,5257530S,Secondary,Local Authority,Aboyne Academy,Bridgeview Road,Aboyne,ABERDEENSHIRE,AB34 5JN,Aberdeenshire,S12000034,S01006795,151085007,Non-denominational,60.6,669,0 - <5%,0%,82,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,798548,57.0754187,-2.7953613,
5256127,5256127P,Primary,Local Authority,Aboyne Primary School,Morven Plance,Aboyne,ABERDEENSHIRE,AB34 5JN,Aberdeenshire,S12000034,S01006795,151650719,Non-denominational,16.5,240,0 - <5%,0%,82,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,798437,57.0744187,-2.7953959,
8357021,8357021P,Primary,Local Authority,Abronhill Primary School,Medlar Road,Abronhill,CUMBERNAULD,G67 3AJ,North Lanarkshire,S12000050,S01011755,118037738,Non-denominational,11.3,158,5 - <10%,*,22,N,Y,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,675058,55.9529065,-3.9615007,
8100128,8100128P,Primary,Local Authority,Achahoish Primary School,Achahoish,Lochgilphead,ARGYLL,PA31 8NZ,Argyll and Bute,S12000035,S01007320,125070825,Non-denominational,1.6,6,*,0%,67,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,675486,55.920188,-5.5845674,
5130123,5130123P,Primary,Local Authority,Acharacle Primary School,Acharacle,Argyll,,PH36 4JU,Highland,S12000017,S01010505,130111370,Non-denominational,5.1,48,*,0%,44,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,768115,56.7464727,-5.8046343,
5113024,5113024P,Primary,Local Authority,Achiltibuie Primary School,Achiltibuie,Ullapool,,IV26 2YG,Highland,S12000017,S01010693,130111569,Non-denominational,1.5,12,*,0%,55,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,907735,58.0149194,-5.3374819,
5500125,5500125P,Primary,Local Authority,Addiewell Primary School,Church Street,Addiewell,WEST CALDER,EH55 8PG,West Lothian,S12000040,S01013255,200004137619,Non-denominational,10.5,117,*,55 - <60%,38,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,662465,55.8447418,-3.6179057,
8640122,8640122P,Primary,Local Authority,Aileymill Primary School,Norfolk Road,,GREENOCK,PA16 0JG,Inverclyde,S12000018,S01010853,119052180,Non-denominational,19.9,299,0 - <5%,60 - <65%,31,N,N,N,2,2,Other Urban Areas,Other Urban Areas,2,2,675550,55.9407684,-4.8156496,
8505438,8505438S,Secondary,Local Authority,Airdrie Academy,South Commonhead Avenue,Airdrie,,ML6 6NX,North Lanarkshire,S12000050,S01011659,118140728,Non-denominational,73.9,1032,5 - <10%,40 - <45%,16,N,Y,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,666485,55.8755426,-3.9815892,
5300223,5300223P,Primary,Local Authority,Airlie Primary School,Kirkton Road,Airlie,KIRRIEMUIR,DD8 5NP,Angus,S12000041,S01007268,117083272,Non-denominational,3,38,0%,0%,56,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,750154,56.6381721,-3.1180614,
5740223,5740223P,Primary,Local Authority,Airth Primary School,Elphinstone Crescent,Airth,FALKIRK,FK2 8JX,Falkirk,S12000014,S01009125,136035495,Non-denominational,11.4,166,*,*,39,N,N,N,6,5,Accessible Rural Areas,Accessible Rural Areas,6,5,687617,56.0686899,-3.7683167,
5237629,5237629P,Primary,Local Authority,Airyhall School,Countesswells Road,Aberdeen,,AB15 8AD,Aberdeen City,S12000033,S01006542,9051018828,Non-denominational,20.1,368,>20%,0%,97,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,804590,57.1321195,-2.150731,
