urn,name,phase,year,expected_pct,higher_pct,a8,p8
137068,E-Act St Ursula's Academy,Primary,2024,77.0,11.0,,
137212,Waycroft Academy,Primary,2023,51.0,2.0,,
137212,Waycroft Academy,Primary,2024,65.0,0.0,,
137440,Cotham School,Secondary,2024,,,46.2,0.1
137518,Henleaze Junior School,Primary,2023,70.0,3.0,,
137518,Henleaze Junior School,Primary,2024,68.0,11.0,,
137523,Wellsway School,Secondary,2024,,,51.8,0.31
137548,Writhlington School,Secondary,2024,,,46.5,0.08
137627,St Bede's Catholic College,Secondary,2024,,,55.6,0.38
137700,Ilminster Avenue E-ACT Academy,Primary,2023,16.0,0.0,,
137700,Ilminster Avenue E-ACT Academy,Primary,2024,43.0,0.0,,
137762,West Town Lane Academy,Primary,2023,57.0,6.0,,
137762,West Town Lane Academy,Primary,2024,62.0,9.0,,
138204,Bedminster Down School,Secondary,2024,,,39.9,-0.3
138278,Oasis Academy Connaught,Primary,2023,48.0,0.0,,
138278,Oasis Academy Connaught,Primary,2024,33.0,0.0,,
138317,Christ Church Church of England Primary School,Primary,2023,63.0,11.0,,
138317,Christ Church Church of England Primary School,Primary,2024,71.0,14.0,,
138377,E-Act the Dolphin School,Primary,2023,40.0,6.0,,
138377,E-Act the Dolphin School,Primary,2024,50.0,4.0,,
138409,Oasis Academy Bank Leaze,Primary,2023,72.0,14.0,,
138409,Oasis Academy Bank Leaze,Primary,2024,79.0,14.0,,
138448,Orchard School Bristol,Secondary,2024,,,39.6,-0.31
138465,St Patrick's Catholic Primary School,Primary,2023,60.0,0.0,,
138465,St Patrick's Catholic Primary School,Primary,2024,60.0,10.0,,
138522,Ralph Allen School,Secondary,2024,,,53.8,0.34
138531,Westbury Park School,Primary,2023,72.0,16.0,,
138531,Westbury Park School,Primary,2024,91.0,25.0,,
138617,Chew Stoke Church School,Primary,2023,68.0,16.0,,
138617,Chew Stoke Church School,Primary,2024,82.0,14.0,,
138655,Begbrook Primary Academy,Primary,2023,66.0,6.0,,
138655,Begbrook Primary Academy,Primary,2024,62.0,3.0,,
